step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,eat_count,eat_rate,eat_per_move,birth_rate,death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,684,10.15,1.0,0,0,55,0.55,16,0.16,0.2909090909090909,0.0,0.0,0.5087096774193548,0.3005667556629999,0.0,1.0,0.47193548387096773,0.305879091685733,0.0,1.0,0.5019354838709678,0.3201300464156811,0.0,1.0,0.5080645161290323,0.30027302872452005,0.0,1.0
1,100,869,10.34,2.0,0,0,46,0.46,15,0.15,0.32608695652173914,0.0,0.0,0.5087096774193548,0.3005667556629999,0.0,1.0,0.47193548387096773,0.305879091685733,0.0,1.0,0.5019354838709678,0.3201300464156811,0.0,1.0,0.5080645161290323,0.30027302872452005,0.0,1.0
2,100,1058,10.32,3.0,0,0,47,0.47,11,0.11,0.23404255319148937,0.0,0.0,0.5087096774193548,0.3005667556629999,0.0,1.0,0.47193548387096773,0.305879091685733,0.0,1.0,0.5019354838709678,0.3201300464156811,0.0,1.0,0.5080645161290323,0.30027302872452005,0.0,1.0
3,100,1243,10.410000000000002,4.0,0,0,56,0.56,15,0.15,0.26785714285714285,0.0,0.0,0.5087096774193548,0.3005667556629999,0.0,1.0,0.47193548387096773,0.305879091685733,0.0,1.0,0.5019354838709678,0.3201300464156811,0.0,1.0,0.5080645161290323,0.30027302872452005,0.0,1.0
4,100,1431,10.350000000000001,5.0,0,0,56,0.56,12,0.12,0.21428571428571427,0.0,0.0,0.5087096774193548,0.3005667556629999,0.0,1.0,0.47193548387096773,0.305879091685733,0.0,1.0,0.5019354838709678,0.3201300464156811,0.0,1.0,0.5080645161290323,0.30027302872452005,0.0,1.0
5,101,1616,10.27722772277228,5.9405940594059405,1,0,57,0.57,15,0.15,0.2631578947368421,0.01,0.0,0.5122963909294155,0.3012181382910969,0.0,1.0,0.4730118173107633,0.3045513281480764,0.0,1.0,0.5007984669434685,0.3187441634875341,0.0,1.0,0.5030341743851804,0.30298781128222674,0.0,1.0
6,102,1796,10.440196078431374,6.872549019607843,1,0,58,0.5742574257425742,20,0.19801980198019803,0.3448275862068966,0.009900990099009901,0.0,0.5154965211891208,0.3014583852357567,0.0,1.0,0.476280834914611,0.3048303085626304,0.0,1.0,0.4968374446552815,0.31966614450009523,0.0,1.0,0.49873497786211257,0.30457903757367594,0.0,1.0
7,102,1975,10.869607843137258,7.872549019607843,0,0,51,0.5,21,0.20588235294117646,0.4117647058823529,0.0,0.0,0.5154965211891208,0.3014583852357567,0.0,1.0,0.476280834914611,0.3048303085626304,0.0,1.0,0.4968374446552815,0.31966614450009523,0.0,1.0,0.49873497786211257,0.30457903757367594,0.0,1.0
8,103,2160,10.830097087378643,8.78640776699029,1,0,53,0.5196078431372549,15,0.14705882352941177,0.2830188679245283,0.00980392156862745,0.0,0.5114312558722205,0.30278795632866135,0.0,1.0,0.476354525524585,0.30334785355913807,0.0,1.0,0.49608518634512994,0.31820129412642867,0.0,1.0,0.4979642968994676,0.30319681555118533,0.0,1.0
9,103,2336,11.225242718446605,9.592233009708737,2,2,61,0.5922330097087378,24,0.23300970873786409,0.39344262295081966,0.019417475728155338,0.019417475728155338,0.49577200125274035,0.29877693670386984,0.0,1.0,0.4823050422799875,0.3055437998786696,0.0,1.0,0.48637644848105227,0.3179336223077026,0.0,1.0,0.4970247416222988,0.30428667741049936,0.0,1.0
