seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
9,89,True,243,6,0,0.0,0.35,0.3,0.95,0.5,0.3,0.45,,,,,,,,,,,,,,
9,90,True,415,32,0,0.0,0.9,0.9,1.0,0.9,0.3,0.2,,,,,,,,,,,,,,
9,91,True,483,48,0,0.0,0.9,0.1,0.9,0.7,0.35,0.35,,,,,,,,,,,,,,
9,92,True,168,2,0,0.0,0.0,0.0,0.1,0.35,0.75,0.425,,,,,,,,,,,,,,
9,93,True,129,1,0,0.0,1.0,0.95,0.95,0.65,0.85,0.175,,,,,,,,,,,,,,
9,94,True,377,13,0,0.0,0.35,0.75,0.1,0.7,0.45,0.225,,,,,,,,,,,,,,
9,95,True,50,1,0,0.0,0.75,0.9,0.0,0.5,0.15,0.325,,,,,,,,,,,,,,
9,96,True,513,10,0,0.0,0.0,0.9,0.2,0.45,0.3,0.35,,,,,,,,,,,,,,
9,97,True,822,18,0,0.0,0.05,0.45,0.0,0.35,0.3,0.25,,,,,,,,,,,,,,
9,98,True,151,2,0,0.0,0.35,0.25,0.05,0.55,0.4,0.05,,,,,,,,,,,,,,
9,99,True,67,2,0,0.0,0.4,0.3,0.7,0.4,0.85,0.2,,,,,,,,,,,,,,
