founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,False,,1,1,0.0011574074074074073,0.0,0.45,0.2,0.65,0.05,0.25,0.0,0.0,0.45,0.0,0.2,0.0,0.65,0.0,0.05,0.0,0.25,0.0,0.0,0
1,False,,18,10,0.011574074074074073,0.4,0.75,0.25,0.1,0.75,0.3,0.41,0.029999999999999992,0.755,0.015000000000000015,0.265,0.045000000000000005,0.11500000000000002,0.032015621187164243,0.745,0.015000000000000015,0.2975,0.007499999999999989,1.4,3
2,False,,1,1,0.0011574074074074073,0.05,0.2,0.65,0.3,0.55,0.425,0.05,0.0,0.2,0.0,0.65,0.0,0.3,0.0,0.55,0.0,0.425,0.0,0.0,0
3,False,,12,10,0.011574074074074073,0.6,0.0,0.15,0.05,0.65,0.425,0.605,0.015000000000000015,0.02,0.060000000000000005,0.16999999999999998,0.07810249675906655,0.1,0.08660254037844385,0.655,0.01499999999999998,0.4175,0.016007810593582115,1.7,3
4,False,,20,15,0.017361111111111112,0.2,0.55,0.65,0.3,0.1,0.15,0.20000000000000007,5.551115123125783e-17,0.55,0.0,0.6533333333333334,0.012472191289246454,0.29999999999999993,5.551115123125783e-17,0.10000000000000003,2.7755575615628914e-17,0.14999999999999997,2.7755575615628914e-17,1.8,4
5,False,,4,4,0.004629629629629629,0.05,0.25,0.45,0.5,0.7,0.375,0.05,0.0,0.25,0.0,0.45,0.0,0.5125,0.021650635094610984,0.7,0.0,0.375,0.0,0.75,1
6,False,,24,19,0.02199074074074074,0.8,0.0,0.5,0.7,0.75,0.275,0.7842105263157896,0.06698906348083082,0.007894736842105265,0.02440425919867291,0.5026315789473684,0.011164843913471813,0.6868421052631578,0.02201736911931775,0.7447368421052631,0.0223296878269436,0.27368421052631586,0.005582421956735906,1.894736842105263,3
7,False,,4,4,0.004629629629629629,0.8,0.3,0.9,0.65,0.65,0.325,0.8,0.0,0.3,0.0,0.9,0.0,0.65,0.0,0.65,0.0,0.31875000000000003,0.010825317547305494,1.25,2
8,False,,10,9,0.010416666666666666,0.15,0.5,0.5,0.8,0.4,0.075,0.15,0.0,0.5,0.0,0.49444444444444446,0.01571348402636772,0.8,0.0,0.4,0.02357022603955159,0.075,0.0,1.3333333333333333,3
9,True,24,1,0,0.0,1.0,0.4,0.8,0.95,0.9,0.275,,,,,,,,,,,,,,
10,False,,1,1,0.0011574074074074073,0.6,0.7,0.7,0.75,0.95,0.2,0.6,0.0,0.7,0.0,0.7,0.0,0.75,0.0,0.95,0.0,0.2,0.0,0.0,0
11,True,93,2,0,0.0,0.4,0.8,0.25,0.35,0.75,0.4,,,,,,,,,,,,,,
12,False,,22,11,0.01273148148148148,1.0,0.35,0.85,0.3,0.9,0.175,0.9863636363636363,0.043121968093205176,0.3318181818181818,0.024052284646041727,0.8545454545454544,0.014373989364401735,0.2954545454545454,0.01437398936440172,0.8863636363636364,0.0308287726505694,0.18181818181818182,0.011134044285378092,1.6363636363636365,3
13,False,,21,15,0.017361111111111112,0.9,0.35,0.05,0.55,0.3,0.025,0.9000000000000001,1.1102230246251565e-16,0.3499999999999999,5.551115123125783e-17,0.05000000000000002,1.3877787807814457e-17,0.55,0.0,0.29999999999999993,5.551115123125783e-17,0.028333333333333342,0.008498365855987977,1.7333333333333334,3
14,False,,31,19,0.02199074074074074,0.6,0.4,0.7,0.05,0.65,0.15,0.6026315789473684,0.025514104512717517,0.41578947368421065,0.023241475964020642,0.6894736842105262,0.02605130246476753,0.08157894736842107,0.06729848343444432,0.65,0.0,0.15526315789473683,0.010192061437387937,3.3684210526315788,5
15,False,,24,16,0.018518518518518517,0.65,1.0,0.55,0.1,0.55,0.45,0.64375,0.016535945694153707,1.0,0.0,0.55,0.0,0.1,0.0,0.55625,0.01653594569415367,0.44843750000000004,0.006051536478449094,2.125,4
16,False,,16,8,0.009259259259259259,0.85,0.35,1.0,0.75,0.7,0.125,0.85,0.0,0.35624999999999996,0.016535945694153707,0.99375,0.016535945694153707,0.6937500000000001,0.04635124054434788,0.7,0.0,0.125,0.0,1.375,2
17,True,94,1,0,0.0,0.05,0.0,0.8,0.45,0.95,0.325,,,,,,,,,,,,,,
18,False,,9,7,0.008101851851851851,0.2,0.15,0.45,0.95,0.55,0.4,0.19999999999999998,2.7755575615628914e-17,0.15,0.0,0.45000000000000007,5.551115123125783e-17,0.942857142857143,0.017496355305594107,0.5499999999999999,1.1102230246251565e-16,0.39999999999999997,5.551115123125783e-17,1.7142857142857142,3
19,False,,9,6,0.006944444444444444,0.1,1.0,0.25,0.35,0.3,0.3,0.10833333333333334,0.018633899812498245,0.9666666666666667,0.023570226039551608,0.25,0.0,0.35833333333333334,0.018633899812498265,0.3,0.0,0.3,0.0,1.6666666666666667,3
20,False,,31,26,0.03009259259259259,0.55,0.45,0.8,0.9,0.35,0.2,0.551923076923077,0.0218419551761549,0.4461538461538461,0.01923076923076924,0.7750000000000001,0.060843430844447606,0.8961538461538462,0.019230769230769225,0.35,0.013867504905630731,0.19903846153846155,0.004807692307692312,2.3461538461538463,4
21,False,,4,1,0.0011574074074074073,0.75,0.05,1.0,0.6,0.7,0.275,0.75,0.0,0.05,0.0,1.0,0.0,0.6,0.0,0.7,0.0,0.275,0.0,0.0,0
22,False,,11,8,0.009259259259259259,0.7,0.3,0.55,0.4,1.0,0.225,0.7,0.0,0.30625,0.02997394702070449,0.51875,0.024206145913796374,0.4,0.0,1.0,0.0,0.225,0.0,1.75,3
23,False,,63,41,0.047453703703703706,0.4,1.0,0.0,0.05,0.15,0.1,0.39999999999999997,5.551115123125783e-17,0.9682926829268294,0.02649458656390298,0.0012195121951219512,0.0077128723418740976,0.05609756097560975,0.031613369260526145,0.1719512195121951,0.024813402377287574,0.10243902439024388,0.009247409078111645,4.121951219512195,8
24,False,,2,2,0.0023148148148148147,0.2,0.7,0.7,1.0,0.4,0.05,0.2,0.0,0.7,0.0,0.7,0.0,1.0,0.0,0.4,0.0,0.05,0.0,0.5,1
25,False,,3,2,0.0023148148148148147,0.1,0.5,0.6,0.1,0.55,0.35,0.125,0.024999999999999994,0.5,0.0,0.6,0.0,0.1,0.0,0.55,0.0,0.35,0.0,0.5,1
26,False,,2,1,0.0011574074074074073,0.75,0.3,0.35,0.5,1.0,0.475,0.75,0.0,0.3,0.0,0.35,0.0,0.5,0.0,1.0,0.0,0.475,0.0,0.0,0
27,False,,3,1,0.0011574074074074073,0.55,0.95,0.6,0.35,0.0,0.325,0.55,0.0,0.95,0.0,0.6,0.0,0.35,0.0,0.0,0.0,0.325,0.0,0.0,0
28,False,,12,9,0.010416666666666666,0.0,0.05,0.25,0.6,0.75,0.4,0.022222222222222223,0.034246744460938755,0.09444444444444446,0.1257078722109418,0.2444444444444444,0.054997194092287024,0.5777777777777777,0.0671280331866365,0.7166666666666667,0.07817359599705717,0.37777777777777777,0.0628539361054709,1.5555555555555556,3
29,False,,6,3,0.003472222222222222,0.35,0.75,0.65,0.45,0.15,0.45,0.3499999999999999,5.551115123125783e-17,0.75,0.0,0.65,0.0,0.45,0.0,0.15,0.0,0.45,0.0,1.0,2
30,False,,25,10,0.011574074074074073,0.9,0.3,0.85,0.05,1.0,0.0,0.9,0.0,0.29999999999999993,5.551115123125783e-17,0.85,0.0,0.05,0.0,1.0,0.0,0.02,0.01,2.0,3
31,False,,16,14,0.016203703703703703,0.7,0.35,0.05,0.85,0.7,0.2,0.7,0.0,0.3535714285714286,0.01287696884094283,0.05000000000000001,6.938893903907228e-18,0.8499999999999999,1.1102230246251565e-16,0.6964285714285713,0.0128769688409428,0.20000000000000004,2.7755575615628914e-17,1.7142857142857142,3
32,False,,22,6,0.006944444444444444,1.0,0.85,0.85,0.0,0.3,0.475,1.0,0.0,0.85,0.0,0.85,0.0,0.03333333333333333,0.037267799624996496,0.27499999999999997,0.024999999999999994,0.4708333333333334,0.009316949906249112,3.3333333333333335,6
