founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
60,True,93,1,0,0.0,0.05,0.65,0.4,0.4,0.75,0.325,,,,,,,,,,,,,,
61,True,59,1,0,0.0,0.95,0.7,0.15,0.25,0.65,0.05,,,,,,,,,,,,,,
62,True,48,1,0,0.0,0.85,0.65,0.3,0.55,0.0,0.45,,,,,,,,,,,,,,
63,True,20,1,0,0.0,0.35,0.6,0.2,0.1,0.05,0.1,,,,,,,,,,,,,,
64,True,70,1,0,0.0,0.25,0.2,0.9,0.5,1.0,0.3,,,,,,,,,,,,,,
65,True,65,1,0,0.0,0.85,1.0,0.55,0.4,0.3,0.15,,,,,,,,,,,,,,
66,True,29,1,0,0.0,0.9,0.95,0.6,0.6,0.1,0.375,,,,,,,,,,,,,,
67,True,71,2,0,0.0,0.9,0.45,0.9,0.4,0.25,0.275,,,,,,,,,,,,,,
68,True,93,2,0,0.0,0.5,0.65,0.25,0.8,0.7,0.325,,,,,,,,,,,,,,
69,True,73,1,0,0.0,0.8,0.55,0.35,0.55,0.4,0.1,,,,,,,,,,,,,,
70,True,16,1,0,0.0,0.6,0.05,1.0,0.45,0.25,0.425,,,,,,,,,,,,,,
71,False,,8954,59,0.09800664451827243,0.3,0.7,0.2,0.65,0.0,0.35,0.24406779661016947,0.024503105584408408,0.6822033898305084,0.044875262016521075,0.25084745762711863,0.033813453124169494,0.42118644067796607,0.0561500636389066,0.06694915254237288,0.023668203464015155,0.3427966101694915,0.017857040259072428,79.62711864406779,82
72,True,34,1,0,0.0,0.5,0.1,0.0,0.35,0.55,0.1,,,,,,,,,,,,,,
73,True,80,1,0,0.0,0.1,0.8,0.15,0.8,1.0,0.05,,,,,,,,,,,,,,
