founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,True,31,1,0,0.0,0.4,0.0,0.25,0.6,1.0,0.325,,,,,,,,,,,,,,
1,True,28,1,0,0.0,0.8,0.35,0.3,0.55,0.0,0.2,,,,,,,,,,,,,,
2,True,18,1,0,0.0,0.45,0.45,0.8,0.6,0.0,0.5,,,,,,,,,,,,,,
3,True,24,1,0,0.0,0.75,0.05,0.7,0.45,0.65,0.075,,,,,,,,,,,,,,
4,True,26,1,0,0.0,0.7,0.75,1.0,0.9,0.4,0.05,,,,,,,,,,,,,,
5,True,26,1,0,0.0,0.1,0.95,0.45,0.9,0.0,0.2,,,,,,,,,,,,,,
6,True,649,14,0,0.0,0.15,0.45,0.35,0.75,0.2,0.5,,,,,,,,,,,,,,
7,True,24,1,0,0.0,0.55,0.45,0.05,0.3,0.0,0.35,,,,,,,,,,,,,,
8,True,21,1,0,0.0,0.85,1.0,0.0,1.0,0.95,0.175,,,,,,,,,,,,,,
9,True,6229,2922,0,0.0,0.15,0.2,0.25,0.9,1.0,0.025,,,,,,,,,,,,,,
10,True,53,1,0,0.0,0.7,0.65,0.35,1.0,0.9,0.5,,,,,,,,,,,,,,
11,True,59,1,0,0.0,0.55,1.0,0.2,0.15,0.5,0.275,,,,,,,,,,,,,,
12,True,28,1,0,0.0,0.25,1.0,0.65,0.3,0.7,0.3,,,,,,,,,,,,,,
13,True,68,1,0,0.0,0.1,0.2,0.25,0.1,0.8,0.425,,,,,,,,,,,,,,
14,True,99,1,0,0.0,0.35,0.95,0.6,0.9,0.6,0.0,,,,,,,,,,,,,,
15,False,,8126,47,0.07692307692307693,0.85,0.25,0.4,0.8,0.35,0.475,0.4659574468085106,0.04265944182077323,0.2712765957446809,0.05625235772937141,0.46170212765957436,0.0388843976223342,0.5170212765957448,0.05580798744086808,0.34787234042553195,0.053551969994269026,0.32340425531914885,0.019572733503163933,78.44680851063829,81
16,True,4478,608,0,0.0,0.3,0.65,0.45,0.05,0.85,0.35,,,,,,,,,,,,,,
17,True,33,1,0,0.0,0.0,0.7,0.8,0.3,0.7,0.175,,,,,,,,,,,,,,
18,True,49,2,0,0.0,0.4,0.8,0.1,0.05,0.2,0.375,,,,,,,,,,,,,,
19,True,31,1,0,0.0,0.4,0.15,0.35,0.35,0.65,0.325,,,,,,,,,,,,,,
20,True,24,1,0,0.0,0.9,0.15,0.0,0.0,0.8,0.4,,,,,,,,,,,,,,
21,True,101,3,0,0.0,0.8,0.2,0.3,0.4,0.75,0.15,,,,,,,,,,,,,,
22,True,61,1,0,0.0,0.6,1.0,0.5,0.75,0.85,0.45,,,,,,,,,,,,,,
23,True,17,1,0,0.0,0.6,0.45,0.2,0.45,0.9,0.25,,,,,,,,,,,,,,
24,True,89,2,0,0.0,0.75,0.0,0.5,0.25,0.55,0.275,,,,,,,,,,,,,,
25,True,29,1,0,0.0,0.1,0.45,0.6,0.25,0.0,0.275,,,,,,,,,,,,,,
26,True,80,2,0,0.0,0.65,0.55,0.9,0.3,0.4,0.175,,,,,,,,,,,,,,
27,True,71,1,0,0.0,0.75,0.0,0.95,0.7,0.65,0.2,,,,,,,,,,,,,,
28,True,26,1,0,0.0,0.6,0.95,0.5,0.15,0.4,0.025,,,,,,,,,,,,,,
29,True,39,1,0,0.0,0.55,0.1,0.9,0.55,0.7,0.125,,,,,,,,,,,,,,
30,True,83,1,0,0.0,0.2,0.8,0.15,0.1,0.85,0.475,,,,,,,,,,,,,,
31,True,28,1,0,0.0,0.35,0.05,0.15,0.7,1.0,0.25,,,,,,,,,,,,,,
32,True,63,1,0,0.0,0.65,0.25,0.3,1.0,0.65,0.05,,,,,,,,,,,,,,
33,True,30,1,0,0.0,0.55,0.0,0.05,0.2,0.2,0.0,,,,,,,,,,,,,,
34,True,96,1,0,0.0,0.65,0.4,0.55,0.9,0.15,0.1,,,,,,,,,,,,,,
35,True,31,1,0,0.0,0.9,0.6,0.4,0.3,1.0,0.15,,,,,,,,,,,,,,
36,True,120,1,0,0.0,0.65,0.1,0.65,1.0,0.55,0.075,,,,,,,,,,,,,,
37,True,118,1,0,0.0,0.75,0.95,0.55,0.8,0.8,0.05,,,,,,,,,,,,,,
38,True,33,1,0,0.0,0.0,0.2,0.1,0.8,0.9,0.075,,,,,,,,,,,,,,
39,True,399,13,0,0.0,0.4,0.6,0.85,0.95,0.35,0.1,,,,,,,,,,,,,,
40,True,94,1,0,0.0,0.15,0.95,0.45,1.0,0.65,0.375,,,,,,,,,,,,,,
41,False,,7808,45,0.07364975450081833,0.95,0.75,0.9,0.25,0.35,0.025,0.6411111111111111,0.04863570806275396,0.6311111111111112,0.05506449641495051,0.7822222222222222,0.05072316538005924,0.2744444444444445,0.032697642154582575,0.45999999999999996,0.0679869268479038,0.10555555555555556,0.024088314876309778,93.04444444444445,97
42,True,48,1,0,0.0,0.0,0.45,0.2,0.75,0.05,0.325,,,,,,,,,,,,,,
