step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,birth_rate,death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,663,11.12,1.0,0,0,63,0.63,37,37,0.37,0.5555555555555556,35,2,0.5555555555555556,0.05405405405405406,0.37,0.0,0.0,0.45967741935483875,0.29151636283798765,0.0,1.0,0.4680645161290322,0.30221158454206487,0.0,1.0,0.5138709677419355,0.3094506898497581,0.0,1.0,0.5006451612903225,0.31647380804082115,0.0,1.0
1,100,836,11.85,2.0,0,0,52,0.52,48,27,0.27,0.46153846153846156,24,3,0.46153846153846156,0.0625,0.27,0.0,0.0,0.45967741935483875,0.29151636283798765,0.0,1.0,0.4680645161290322,0.30221158454206487,0.0,1.0,0.5138709677419355,0.3094506898497581,0.0,1.0,0.5006451612903225,0.31647380804082115,0.0,1.0
2,100,1015,12.29,3.0,0,0,51,0.51,49,21,0.21,0.39215686274509803,20,1,0.39215686274509803,0.02040816326530612,0.21,0.0,0.0,0.45967741935483875,0.29151636283798765,0.0,1.0,0.4680645161290322,0.30221158454206487,0.0,1.0,0.5138709677419355,0.3094506898497581,0.0,1.0,0.5006451612903225,0.31647380804082115,0.0,1.0
3,104,1189,12.211538461538462,3.8461538461538463,4,0,59,0.59,41,26,0.26,0.4406779661016949,26,0,0.4406779661016949,0.0,0.26,0.04,0.0,0.45037220843672454,0.29292748793147705,0.0,1.0,0.46898263027295284,0.29720014329835104,0.0,1.0,0.5145781637717122,0.30844914498806886,0.0,1.0,0.48604218362282875,0.3193154982121626,0.0,1.0
4,104,1356,13.101923076923075,4.846153846153846,0,0,62,0.5961538461538461,42,33,0.3173076923076923,0.5161290322580645,32,1,0.5161290322580645,0.023809523809523808,0.3173076923076923,0.0,0.0,0.45037220843672454,0.29292748793147705,0.0,1.0,0.46898263027295284,0.29720014329835104,0.0,1.0,0.5145781637717122,0.30844914498806886,0.0,1.0,0.48604218362282875,0.3193154982121626,0.0,1.0
5,106,1525,13.577358490566038,5.735849056603773,2,0,58,0.5576923076923077,46,31,0.2980769230769231,0.46551724137931033,27,4,0.46551724137931033,0.08695652173913043,0.2980769230769231,0.019230769230769232,0.0,0.45252586731588557,0.29064219733948027,0.0,1.0,0.46622032866707247,0.29558801542101865,0.0,1.0,0.5127814972611077,0.30583206891846576,0.0,1.0,0.48356664637857577,0.3183069081106232,0.0,1.0
6,108,1694,13.968518518518518,6.611111111111111,2,0,65,0.6132075471698113,41,31,0.29245283018867924,0.46153846153846156,30,1,0.46153846153846156,0.024390243902439025,0.29245283018867924,0.018867924528301886,0.0,0.4483273596176822,0.2895895370177993,0.0,1.0,0.46923536439665475,0.297967325878841,0.0,1.0,0.5104540023894862,0.3046013660658631,0.0,1.0,0.47909199522102747,0.3176388134734969,0.0,1.0
7,111,1862,14.223423423423423,7.405405405405405,3,0,64,0.5925925925925926,44,32,0.2962962962962963,0.484375,31,1,0.484375,0.022727272727272728,0.2962962962962963,0.027777777777777776,0.0,0.44405696018599244,0.28849094319847013,0.0,1.0,0.4702121476315025,0.2986016272727751,0.0,1.0,0.5079918628305725,0.3021569538650857,0.0,1.0,0.47573379831444346,0.3147693737779898,0.0,1.0
8,115,2024,14.493043478260867,8.11304347826087,4,0,71,0.6396396396396397,40,38,0.34234234234234234,0.5352112676056338,38,0,0.5352112676056338,0.0,0.34234234234234234,0.036036036036036036,0.0,0.44908835904628336,0.28528107712627837,0.0,1.0,0.46563814866760167,0.29830480453593505,0.0,1.0,0.5147265077138851,0.3018107684178969,0.0,1.0,0.4628330995792426,0.31675078332788614,0.0,1.0
9,119,2187,14.707563025210083,8.806722689075631,4,0,70,0.6086956521739131,45,37,0.3217391304347826,0.5,35,2,0.5,0.044444444444444446,0.3217391304347826,0.034782608695652174,0.0,0.44348061805367306,0.2873471359835416,0.0,1.0,0.4638113309840065,0.29446434526816195,0.0,1.0,0.5128761181892112,0.3034557002699183,0.0,1.0,0.4594741122255354,0.3158131643886771,0.0,1.0
10,120,2348,15.386666666666663,9.633333333333333,2,1,78,0.6554621848739496,41,39,0.3277310924369748,0.47435897435897434,37,2,0.47435897435897434,0.04878048780487805,0.3277310924369748,0.01680672268907563,0.008403361344537815,0.4336021505376344,0.2855277845252949,0.0,1.0,0.4650537634408602,0.2944327731070773,0.0,1.0,0.5088709677419355,0.3027639613667101,0.0,1.0,0.4615591397849462,0.3131081202933595,0.0,1.0
11,124,2505,15.777419354838706,10.290322580645162,4,0,73,0.6083333333333333,47,43,0.35833333333333334,0.547945205479452,40,3,0.547945205479452,0.06382978723404255,0.35833333333333334,0.03333333333333333,0.0,0.4378251821019771,0.2835720385645133,0.0,1.0,0.468522372528616,0.2986566465287809,0.0,1.0,0.508324661810614,0.3041667096515969,0.0,1.0,0.46227887617065555,0.309102445279198,0.0,1.0
12,131,2655,15.854961832061065,10.687022900763358,7,0,82,0.6612903225806451,42,50,0.4032258064516129,0.5853658536585366,48,2,0.5853658536585366,0.047619047619047616,0.4032258064516129,0.056451612903225805,0.0,0.433390790445703,0.2861501937186697,0.0,1.0,0.4688500369367151,0.3005608796010095,0.0,1.0,0.5097266683082985,0.3045025395479489,0.0,1.0,0.4525978822950012,0.305115451287411,0.0,1.0
13,139,2793,16.143165467625895,11.014388489208633,8,0,90,0.6870229007633588,41,62,0.4732824427480916,0.6666666666666666,60,2,0.6666666666666666,0.04878048780487805,0.4732824427480916,0.061068702290076333,0.0,0.42562079368763056,0.2871693254067986,0.0,1.0,0.4738918542585287,0.30285102283260984,0.0,1.0,0.517057321884428,0.30114289931649535,0.0,1.0,0.44140171733580874,0.30702907499435944,0.0,1.0
14,148,2935,16.101351351351347,11.283783783783784,9,0,92,0.6618705035971223,47,58,0.4172661870503597,0.5978260869565217,55,3,0.5978260869565217,0.06382978723404255,0.4172661870503597,0.06474820143884892,0.0,0.4341761115954664,0.28579188724963217,0.0,1.0,0.46534437663469924,0.3066486590891286,0.0,1.0,0.5189625108979948,0.3024896240141912,0.0,1.0,0.43613775065387966,0.3037315523644448,0.0,1.0
15,160,3074,15.732499999999996,11.3625,12,0,96,0.6486486486486487,52,61,0.41216216216216217,0.6041666666666666,58,3,0.6041666666666666,0.057692307692307696,0.41216216216216217,0.08108108108108109,0.0,0.4352822580645161,0.28811880595503164,0.0,1.0,0.4608870967741935,0.3064598364770973,0.0,1.0,0.5038306451612903,0.3038915109101039,0.0,1.0,0.4407258064516129,0.3021103259795592,0.0,1.0
16,174,3188,15.782758620689652,11.367816091954023,14,0,115,0.71875,45,86,0.5375,0.6956521739130435,80,6,0.6956521739130435,0.13333333333333333,0.5375,0.0875,0.0,0.43715239154616237,0.28913606761305066,0.0,1.0,0.47515758249907303,0.3063033089396157,0.0,1.0,0.5051909529106414,0.3106141038558758,0.0,1.0,0.43251761216166107,0.30000766209583163,0.0,1.0
