founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,209,7,0,0.0,0.6451612903225806,0.41935483870967744,0.3870967741935484,0.5806451612903226,,,,,,,,,,
1,True,1082,61,0,0.0,0.6774193548387096,0.12903225806451613,0.4838709677419355,0.9354838709677419,,,,,,,,,,
2,False,,63833,325,0.3973105134474328,0.5806451612903226,0.0,0.3548387096774194,0.22580645161290322,0.2876426799007444,0.18573782957974627,0.029875930521091814,0.07675954762209884,0.3847146401985111,0.3367138537366582,0.12198511166253101,0.16529508800774587,118.24923076923076,127
3,True,158,1,0,0.0,0.22580645161290322,0.41935483870967744,0.22580645161290322,0.967741935483871,,,,,,,,,,
4,True,698,71,0,0.0,0.7096774193548387,0.41935483870967744,0.03225806451612903,0.3548387096774194,,,,,,,,,,
5,True,1339,249,0,0.0,0.4838709677419355,0.06451612903225806,0.6129032258064516,0.6451612903225806,,,,,,,,,,
6,True,326,13,0,0.0,0.3225806451612903,0.8064516129032258,0.3870967741935484,0.3870967741935484,,,,,,,,,,
7,True,381,49,0,0.0,0.5161290322580645,1.0,0.4838709677419355,0.8064516129032258,,,,,,,,,,
8,True,401,18,0,0.0,0.6774193548387096,0.8709677419354839,0.5161290322580645,0.7419354838709677,,,,,,,,,,
9,True,162,2,0,0.0,0.0,0.1935483870967742,1.0,0.6451612903225806,,,,,,,,,,
10,True,456,89,0,0.0,0.8387096774193549,0.8387096774193549,0.8064516129032258,0.3225806451612903,,,,,,,,,,
11,True,287,15,0,0.0,0.3548387096774194,0.5483870967741935,0.7096774193548387,0.2903225806451613,,,,,,,,,,
12,True,1593,83,0,0.0,0.1935483870967742,0.1935483870967742,0.7096774193548387,0.45161290322580644,,,,,,,,,,
13,True,289,19,0,0.0,0.9354838709677419,0.9032258064516129,0.9354838709677419,1.0,,,,,,,,,,
14,True,3142,715,0,0.0,0.3225806451612903,0.8387096774193549,0.3548387096774194,0.25806451612903225,,,,,,,,,,
15,True,3040,240,0,0.0,0.12903225806451613,0.06451612903225806,0.22580645161290322,0.16129032258064516,,,,,,,,,,
16,True,605,26,0,0.0,0.8064516129032258,0.5806451612903226,0.7741935483870968,0.8387096774193549,,,,,,,,,,
17,True,834,271,0,0.0,0.9032258064516129,0.1935483870967742,0.45161290322580644,0.3870967741935484,,,,,,,,,,
18,True,94,3,0,0.0,0.7419354838709677,0.41935483870967744,0.7741935483870968,0.03225806451612903,,,,,,,,,,
19,True,224,17,0,0.0,0.6774193548387096,0.03225806451612903,0.6451612903225806,0.4838709677419355,,,,,,,,,,
20,True,506,34,0,0.0,0.7741935483870968,0.45161290322580644,0.7419354838709677,0.7741935483870968,,,,,,,,,,
21,True,264,13,0,0.0,0.7419354838709677,0.967741935483871,0.5806451612903226,1.0,,,,,,,,,,
22,True,43,1,0,0.0,0.3225806451612903,1.0,0.16129032258064516,0.9354838709677419,,,,,,,,,,
23,True,171,4,0,0.0,0.45161290322580644,0.7741935483870968,0.7096774193548387,0.8387096774193549,,,,,,,,,,
24,True,30,1,0,0.0,0.16129032258064516,0.9354838709677419,0.06451612903225806,0.5161290322580645,,,,,,,,,,
25,True,306,22,0,0.0,0.4838709677419355,0.8709677419354839,0.3225806451612903,0.45161290322580644,,,,,,,,,,
26,True,506,15,0,0.0,0.16129032258064516,0.3225806451612903,0.6774193548387096,0.3870967741935484,,,,,,,,,,
27,True,3351,953,0,0.0,0.5161290322580645,0.06451612903225806,0.3548387096774194,0.16129032258064516,,,,,,,,,,
28,True,802,90,0,0.0,1.0,0.12903225806451613,0.03225806451612903,0.41935483870967744,,,,,,,,,,
29,True,2422,440,0,0.0,0.22580645161290322,0.3225806451612903,0.3225806451612903,0.4838709677419355,,,,,,,,,,
30,True,197,4,0,0.0,0.41935483870967744,0.06451612903225806,0.0,0.7419354838709677,,,,,,,,,,
31,True,28,1,0,0.0,0.45161290322580644,0.967741935483871,0.6774193548387096,0.5483870967741935,,,,,,,,,,
32,True,26,1,0,0.0,0.3870967741935484,0.6129032258064516,0.12903225806451613,0.7741935483870968,,,,,,,,,,
33,True,233,8,0,0.0,0.3870967741935484,0.7419354838709677,0.7096774193548387,0.3870967741935484,,,,,,,,,,
34,True,167,1,0,0.0,0.967741935483871,0.25806451612903225,0.5806451612903226,0.8064516129032258,,,,,,,,,,
35,True,511,22,0,0.0,0.9032258064516129,0.4838709677419355,0.06451612903225806,0.3870967741935484,,,,,,,,,,
36,True,475,16,0,0.0,0.22580645161290322,0.7741935483870968,0.4838709677419355,0.22580645161290322,,,,,,,,,,
37,True,302,13,0,0.0,0.967741935483871,0.16129032258064516,0.45161290322580644,0.5483870967741935,,,,,,,,,,
38,True,873,38,0,0.0,0.3870967741935484,0.6451612903225806,0.8064516129032258,0.3225806451612903,,,,,,,,,,
39,True,878,44,0,0.0,0.5483870967741935,0.2903225806451613,0.12903225806451613,0.45161290322580644,,,,,,,,,,
40,True,957,233,0,0.0,0.6451612903225806,0.25806451612903225,0.45161290322580644,0.12903225806451613,,,,,,,,,,
41,True,502,104,0,0.0,0.7096774193548387,0.9032258064516129,0.03225806451612903,0.16129032258064516,,,,,,,,,,
42,True,2278,405,0,0.0,0.7096774193548387,0.2903225806451613,0.3870967741935484,0.6129032258064516,,,,,,,,,,
43,True,7723,9367,0,0.0,0.06451612903225806,0.06451612903225806,0.16129032258064516,0.12903225806451613,,,,,,,,,,
44,True,7714,14922,0,0.0,0.22580645161290322,0.03225806451612903,0.03225806451612903,0.12903225806451613,,,,,,,,,,
45,True,685,29,0,0.0,0.12903225806451613,0.16129032258064516,0.5161290322580645,0.6129032258064516,,,,,,,,,,
46,True,545,36,0,0.0,0.7096774193548387,0.8064516129032258,0.16129032258064516,0.3548387096774194,,,,,,,,,,
47,True,2553,833,0,0.0,0.3870967741935484,0.22580645161290322,0.5806451612903226,0.45161290322580644,,,,,,,,,,
48,True,678,102,0,0.0,0.6774193548387096,0.5806451612903226,0.5806451612903226,0.3548387096774194,,,,,,,,,,
49,True,227,26,0,0.0,0.8387096774193549,1.0,0.7741935483870968,0.12903225806451613,,,,,,,,,,
50,True,414,22,0,0.0,0.4838709677419355,0.6129032258064516,0.9354838709677419,0.2903225806451613,,,,,,,,,,
51,True,2322,203,0,0.0,0.0967741935483871,0.9354838709677419,0.1935483870967742,0.7096774193548387,,,,,,,,,,
