step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,eat_count,eat_rate,average_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,min_reproduction_timing,max_reproduction_timing
25,140,4986,16.988571428571426,18.757142857142856,5,0,103,0.762962962962963,64,0.4740740740740741,0.4490783410138249,0.0,0.967741935483871,0.5350230414746544,0.0,1.0,0.48801843317972354,0.0,1.0,0.44423963133640554,0.0,0.967741935483871
26,150,5121,16.872666666666664,18.406666666666666,11,1,104,0.7428571428571429,65,0.4642857142857143,0.4455913978494624,0.0,0.967741935483871,0.5331182795698924,0.0,1.0,0.486236559139785,0.0,1.0,0.44,0.0,0.967741935483871
27,162,5256,16.456172839506166,17.969135802469136,12,0,115,0.7666666666666667,65,0.43333333333333335,0.44504181600955794,0.0,0.967741935483871,0.5366387893269614,0.0,1.0,0.49362803663878935,0.0,1.0,0.44026284348864997,0.0,0.967741935483871
28,174,5372,16.544252873563213,17.660919540229884,12,0,131,0.808641975308642,84,0.5185185185185185,0.4440118650352243,0.0,0.967741935483871,0.5333704115684093,0.0,1.0,0.4946236559139785,0.0,1.0,0.43400074156470153,0.0,0.967741935483871
29,192,5480,16.095312499999995,16.911458333333332,18,0,141,0.8103448275862069,92,0.5287356321839081,0.448252688172043,0.0,0.967741935483871,0.5282258064516129,0.0,1.0,0.5065524193548387,0.0,1.0,0.433635752688172,0.0,0.967741935483871
30,209,5591,15.675598086124397,16.30622009569378,18,1,150,0.78125,89,0.4635416666666667,0.4474455934557802,0.0,0.967741935483871,0.5256984102484952,0.0,1.0,0.5043988269794721,0.0,1.0,0.44250655965426766,0.0,0.967741935483871
31,222,5683,16.064414414414408,16.292792792792792,13,0,164,0.784688995215311,108,0.5167464114832536,0.44783493170589944,0.0,0.967741935483871,0.5286253995931416,0.0,1.0,0.499128160418483,0.0,1.0,0.4356291775646614,0.0,0.967741935483871
32,239,5772,16.092468619246855,16.06276150627615,17,0,168,0.7567567567567568,111,0.5,0.4607909299500607,0.0,0.967741935483871,0.5276015656633823,0.0,1.0,0.49682818194088274,0.0,1.0,0.4433796733702254,0.0,0.967741935483871
33,259,5846,16.06254826254826,15.745173745173744,20,0,192,0.803347280334728,126,0.5271966527196653,0.461452235645784,0.0,0.967741935483871,0.5288329804458837,0.0,1.0,0.5082824760244116,0.0,1.0,0.4351724996886287,0.0,0.967741935483871
34,278,5898,16.46870503597122,15.600719424460431,19,0,201,0.7760617760617761,148,0.5714285714285714,0.4625203063355767,0.0,0.967741935483871,0.5362032954281736,0.0,1.0,0.5004641448131817,0.0,1.0,0.4465073102808076,0.0,0.967741935483871
35,303,5961,16.143564356435636,15.231023102310232,25,0,219,0.7877697841726619,137,0.49280575539568344,0.4721601192377302,0.0,0.967741935483871,0.5305014372404983,0.0,1.0,0.4999467688704355,0.0,1.0,0.445118705418929,0.0,0.967741935483871
36,329,6000,16.04376899696048,14.911854103343465,27,1,253,0.834983498349835,161,0.5313531353135313,0.46582998333169917,0.0,0.967741935483871,0.5371114815177959,0.0,1.0,0.4967153642513972,0.0,1.0,0.4392587508579272,0.0,0.967741935483871
37,353,6015,16.383286118980163,14.807365439093484,25,1,263,0.7993920972644377,185,0.5623100303951368,0.46778762679338387,0.0,0.967741935483871,0.5427213743945901,0.0,1.0,0.4976697432148406,0.0,1.0,0.4391848670382893,0.0,0.967741935483871
38,379,6035,16.44063324538258,14.722955145118734,26,0,287,0.8130311614730878,180,0.509915014164306,0.4732317644054813,0.0,0.967741935483871,0.5324708485828581,0.0,1.0,0.4992765341731211,0.0,1.0,0.4285471103923738,0.0,0.967741935483871
39,411,6022,16.49732360097323,14.467153284671532,34,2,309,0.8153034300791556,213,0.5620052770448549,0.4710776234204537,0.0,0.967741935483871,0.5321403343536615,0.0,1.0,0.5027077937367553,0.0,1.0,0.43191272270622394,0.0,0.967741935483871
40,451,6011,16.109312638580924,14.095343680709535,40,0,329,0.8004866180048662,211,0.51338199513382,0.47314212145054,0.0,0.967741935483871,0.530005006794936,0.0,1.0,0.5026106859309063,0.0,1.0,0.43215792861740937,0.0,0.967741935483871
41,480,5988,16.316458333333326,14.16875,30,1,354,0.7849223946784922,223,0.49445676274944567,0.47318548387096776,0.0,0.967741935483871,0.5303091397849462,0.0,1.0,0.5036290322580645,0.0,1.0,0.42923387096774196,0.0,0.967741935483871
42,517,5927,16.469245647969046,14.06963249516441,38,1,385,0.8020833333333334,261,0.54375,0.46434142384725774,0.0,0.967741935483871,0.5261745803955824,0.0,1.0,0.5044612216884008,0.0,1.0,0.428090097959693,0.0,0.967741935483871
43,572,5860,15.911538461538454,13.611888111888112,56,1,417,0.8065764023210832,267,0.5164410058027079,0.46836228287841186,0.0,0.967741935483871,0.5281976088427701,0.0,1.0,0.5036656891495601,0.0,1.0,0.42059553349875933,0.0,0.967741935483871
44,608,5769,16.20263157894736,13.74671052631579,36,0,468,0.8181818181818182,291,0.5087412587412588,0.4714028013582343,0.0,0.967741935483871,0.5296052631578947,0.0,1.0,0.5093909168081494,0.0,1.0,0.41829371816638367,0.0,0.967741935483871
45,667,5660,15.829985007496244,13.409295352323838,61,2,473,0.7779605263157895,309,0.5082236842105263,0.47274749721913234,0.0,0.967741935483871,0.5294771968854282,0.0,1.0,0.51409778981477,0.0,1.0,0.4145185471780239,0.0,0.967741935483871
46,720,5506,15.937361111111104,13.348611111111111,53,0,522,0.782608695652174,354,0.5307346326836582,0.4734767025089605,0.0,0.967741935483871,0.5294802867383512,0.0,1.0,0.5166218637992832,0.0,1.0,0.4107974910394265,0.0,0.967741935483871
47,770,5345,16.089090909090903,13.407792207792207,51,1,565,0.7847222222222222,361,0.5013888888888889,0.47700041893590284,0.0,0.967741935483871,0.5243401759530791,0.0,1.0,0.5198575617930457,0.0,1.0,0.40624214495182237,0.0,0.967741935483871
48,839,5188,15.698092967818825,13.209773539928486,70,1,577,0.7493506493506493,357,0.4636363636363636,0.47625821830904685,0.0,1.0,0.5280479833903649,0.0,1.0,0.5169748933061633,0.0,1.0,0.40570571725172055,0.0,0.967741935483871
49,894,5045,15.545078299776279,13.307606263982104,58,3,616,0.734207389749702,343,0.4088200238379023,0.47607707295951507,0.0,1.0,0.5280363715089846,0.0,1.0,0.5176084289528758,0.0,1.0,0.40578768853287145,0.0,0.967741935483871
50,952,4855,15.53277310924369,13.422268907563025,60,2,672,0.7516778523489933,390,0.436241610738255,0.4767213336947682,0.0,1.0,0.5275820005421523,0.0,1.0,0.51341827053402,0.0,1.0,0.40417457305502846,0.0,0.967741935483871
51,1008,4655,15.603174603174596,13.621031746031745,56,0,684,0.7184873949579832,400,0.42016806722689076,0.4763504864311316,0.0,1.0,0.5307539682539683,0.0,1.0,0.5136648745519713,0.0,1.0,0.40220174091141836,0.0,0.967741935483871
52,1071,4450,15.529318394024267,13.754435107376285,64,1,701,0.6954365079365079,405,0.4017857142857143,0.47992530345471524,0.0,1.0,0.5268214812806843,0.0,1.0,0.514713412246619,0.0,1.0,0.4009216589861751,0.0,0.967741935483871
53,1138,4267,15.250439367311065,13.875219683655535,69,2,741,0.6918767507002801,383,0.357609710550887,0.477691479108793,0.0,1.0,0.5243211066386982,0.0,1.0,0.5135495209478995,0.0,1.0,0.3993707126254323,0.0,0.967741935483871
54,1205,4071,15.02008298755186,14.039834024896265,68,1,782,0.687170474516696,396,0.34797891036906853,0.4756792932673003,0.0,1.0,0.5238656137063311,0.0,1.0,0.511685182706465,0.0,1.0,0.39903627359121935,0.0,0.967741935483871
55,1276,3876,14.69357366771159,14.177115987460816,76,5,828,0.6871369294605809,395,0.3278008298755187,0.4765143088279907,0.0,1.0,0.5258620689655172,0.0,1.0,0.5123369400343817,0.0,1.0,0.3979168773384569,0.0,0.967741935483871
56,1325,3664,14.76890566037735,14.590188679245284,53,4,850,0.6661442006269592,412,0.322884012539185,0.4750821667681071,0.0,1.0,0.5291296409007913,0.0,1.0,0.5117224589166159,0.0,1.0,0.3975410833840536,0.0,0.967741935483871
57,1383,3458,14.681995661605198,14.90817064352856,63,5,849,0.6407547169811321,406,0.30641509433962266,0.4772700767382735,0.0,1.0,0.5292141907494227,0.0,1.0,0.5131901196557274,0.0,1.0,0.3982693070230681,0.0,1.0
58,1433,3264,14.638729937194688,15.315422191207258,55,5,887,0.6413593637020969,394,0.2848879248011569,0.47770299169349206,0.0,1.0,0.5284199626319699,0.0,1.0,0.5110640884226639,0.0,1.0,0.3999729869662112,0.0,1.0
59,1495,3060,14.482274247491631,15.638795986622073,62,0,893,0.6231681786461968,404,0.2819260293091417,0.4767720358183191,0.0,1.0,0.527608156219657,0.0,1.0,0.5109504800949402,0.0,1.0,0.40319344050059336,0.0,1.0
60,1538,2866,14.488686605981787,16.120936280884266,54,11,925,0.6187290969899666,394,0.26354515050167227,0.47602667897143336,0.0,1.0,0.526637023365074,0.0,1.0,0.5102143546289694,0.0,1.0,0.40431645622719076,0.0,1.0
61,1594,2703,14.235445420326213,16.472396486825595,64,8,938,0.6098829648894668,363,0.23602080624187255,0.4763427368761889,0.0,1.0,0.5262273849516331,0.0,1.0,0.5080139231796656,0.0,1.0,0.405411421864249,0.0,1.0
62,1631,2519,14.271919068056398,17.01716738197425,47,10,945,0.5928481806775407,384,0.24090338770388958,0.4729930183342893,0.0,1.0,0.5247522794248531,0.0,1.0,0.5083957991337197,0.0,1.0,0.407250647732442,0.0,1.0
63,1683,2387,13.969459298871055,17.387997623291742,63,11,953,0.5843041079092581,332,0.2035561005518087,0.46989822321890634,0.0,1.0,0.5245241791731355,0.0,1.0,0.5095164165372894,0.0,1.0,0.4075671324248174,0.0,1.0
64,1709,2253,13.98607372732591,17.98595669982446,41,15,912,0.5418894830659536,334,0.1984551396316102,0.46999754619754996,0.0,1.0,0.5257366126200947,0.0,1.0,0.5063326978614168,0.0,1.0,0.40872798656071274,0.0,1.0
65,1751,2145,13.742775556824663,18.471730439748715,52,10,954,0.5582211819777648,308,0.1802223522527794,0.4699802877618319,0.0,1.0,0.5242534220077006,0.0,1.0,0.5068071700963505,0.0,1.0,0.4092776477957296,0.0,1.0
66,1780,2020,13.67550561797752,19.110112359550563,37,8,990,0.5653912050256996,325,0.1856082238720731,0.4687749184487133,0.0,1.0,0.5279267850670533,0.0,1.0,0.5067415730337078,0.0,1.0,0.40902500906125405,0.0,1.0
67,1811,1925,13.529707344008825,19.67807840971839,40,9,942,0.5292134831460674,295,0.16573033707865167,0.4674836572202134,0.0,1.0,0.5275645250351793,0.0,1.0,0.5051032222439928,0.0,1.0,0.41123243262499776,0.0,1.0
68,1837,1836,13.399401197604782,20.290146978769734,42,16,949,0.5240198785201546,289,0.15958034235229154,0.4664863820745605,0.0,1.0,0.5277011958487716,0.0,1.0,0.5072786977364918,0.0,1.0,0.41227808312992786,0.0,1.0
69,1858,1730,13.36248654467168,20.933799784714747,37,16,958,0.5215024496461622,306,0.16657593903102885,0.46406125212681,0.0,1.0,0.5287162748706552,0.0,1.0,0.506580089586444,0.0,1.0,0.41473662279940277,0.0,1.0
70,1863,1672,13.342673107890489,21.769189479334408,21,16,977,0.5258342303552207,258,0.13885898815931108,0.46246948210482575,0.0,1.0,0.5277821065572351,0.0,1.0,0.5056533859712915,0.0,1.0,0.4158225546724845,0.0,1.0
71,1876,1587,13.336673773987197,22.464818763326225,33,20,922,0.4949006977992485,285,0.1529790660225443,0.458955223880597,0.0,1.0,0.5280108673223742,0.0,1.0,0.5050725634500309,0.0,1.0,0.4165864227250842,0.0,1.0
72,1896,1519,13.203902953586487,23.082278481012658,35,15,970,0.5170575692963753,268,0.14285714285714285,0.45942221314822373,0.0,1.0,0.5268306791887846,0.0,1.0,0.5035388593983939,0.0,1.0,0.41761943650469574,0.0,1.0
73,1898,1444,13.273498419388819,23.908851422550054,20,18,938,0.4947257383966245,275,0.145042194092827,0.4578673646283014,0.0,1.0,0.5257996532852919,0.0,1.0,0.5033481763486183,0.0,1.0,0.4185390393963085,0.0,1.0
74,1912,1417,13.11297071129706,24.581589958158997,26,12,942,0.49631190727081137,227,0.11959957850368809,0.45701174247536774,0.0,1.0,0.5248009178026724,0.0,1.0,0.504319071399649,0.0,1.0,0.4189161830206506,0.0,1.0
75,1917,1365,13.06635367762127,25.28325508607199,29,24,960,0.502092050209205,252,0.13179916317991633,0.4543725915829505,0.0,1.0,0.5249802278425632,0.0,1.0,0.504434011476265,0.0,1.0,0.4184125060999209,0.0,1.0
76,1922,1291,13.098335067637864,26.024973985431842,24,19,942,0.49139280125195617,274,0.1429316640584246,0.45169682118760696,0.0,1.0,0.5262159712664899,0.0,1.0,0.5036420395421436,0.0,1.0,0.4180960692826693,0.0,1.0
77,1921,1232,13.138677771993741,26.728787090057263,21,22,944,0.4911550468262227,259,0.1347554630593132,0.44899329986062364,0.0,1.0,0.5275814008161072,0.0,1.0,0.5048613793219258,0.0,1.0,0.4199593625631811,0.0,1.0
78,1911,1189,13.211250654107785,27.625850340136054,15,25,951,0.4950546590317543,243,0.12649661634565332,0.44531658817373104,0.0,1.0,0.5285866207525194,0.0,1.0,0.5055282658969296,0.0,1.0,0.42011444776421736,0.0,1.0
79,1920,1161,13.104687499999986,28.291666666666668,28,19,903,0.4725274725274725,228,0.11930926216640503,0.44233870967741934,0.0,1.0,0.5289650537634408,0.0,1.0,0.5043346774193549,0.0,1.0,0.42081653225806454,0.0,1.0
80,1917,1145,13.046531038080321,29.07563901930099,21,24,945,0.4921875,216,0.1125,0.4398337456038501,0.0,1.0,0.5285981119693068,0.0,1.0,0.5026503104649402,0.0,1.0,0.4225183838995743,0.0,1.0
81,1916,1136,13.002244258872638,29.930584551148225,15,16,888,0.46322378716744916,209,0.1090245174752217,0.4376052259411408,0.0,1.0,0.5289076705502054,0.0,1.0,0.5028958179001953,0.0,1.0,0.4246918984443397,0.0,1.0
82,1915,1133,12.961671018276748,30.774934725848563,15,16,849,0.4431106471816284,203,0.10594989561586639,0.4362503158426682,0.0,1.0,0.5282405457761308,0.0,1.0,0.5035121704708162,0.0,1.0,0.4261265055167186,0.0,1.0
83,1917,1137,12.867136150234726,31.558163797600418,16,14,871,0.45483028720626634,196,0.10234986945169713,0.4344658152018443,0.0,1.0,0.5277735709357699,0.0,1.0,0.5031383041378498,0.0,1.0,0.4276002490450469,0.0,1.0
84,1903,1126,12.924540199684694,32.44140830267998,15,29,869,0.45331246739697445,211,0.11006781429316641,0.4306273625684403,0.0,1.0,0.5274185072805248,0.0,1.0,0.5044666316342616,0.0,1.0,0.42947468343701795,0.0,1.0
85,1898,1106,12.929188619599563,33.26343519494205,15,20,899,0.4724119810825013,220,0.11560693641618497,0.42673102416805464,0.0,1.0,0.5287399299772256,0.0,1.0,0.5059655324790102,0.0,1.0,0.43013018797375846,0.0,1.0
86,1884,1086,13.033811040339687,34.216029723991504,9,23,861,0.4536354056902002,220,0.11591148577449947,0.42502225874940075,0.0,1.0,0.527703581946442,0.0,1.0,0.5059413738785015,0.0,1.0,0.429610985548935,0.0,1.0
87,1882,1085,12.994633368756626,34.95802337938363,18,20,836,0.4437367303609342,201,0.10668789808917198,0.4205889410716122,0.0,1.0,0.5282643721504233,0.0,1.0,0.5057762846662781,0.0,1.0,0.43085598711048645,0.0,1.0
88,1875,1082,13.008373333333317,35.79893333333333,12,19,838,0.4452709883103082,203,0.10786397449521785,0.41785806451612906,0.0,1.0,0.5276043010752688,0.0,1.0,0.5058924731182796,0.0,1.0,0.43058924731182796,0.0,1.0
89,1864,1081,13.042006437768222,36.72049356223176,10,21,856,0.45653333333333335,201,0.1072,0.4155129447597951,0.0,1.0,0.527793160736536,0.0,1.0,0.5067492731551987,0.0,1.0,0.4311401079883705,0.0,1.0
90,1869,1075,12.959711075441396,37.406634563937935,19,14,846,0.453862660944206,206,0.11051502145922747,0.41296881202644165,0.0,1.0,0.527295949187939,0.0,1.0,0.5072403734962633,0.0,1.0,0.4305907937658572,0.0,1.0
91,1863,1065,12.989908749329022,38.2061191626409,13,19,827,0.44248261102193687,210,0.11235955056179775,0.41050681349886586,0.0,1.0,0.5277128460859176,0.0,1.0,0.507696569875158,0.0,1.0,0.429813169878621,0.0,1.0
92,1854,1067,13.01272923408844,39.052858683926644,13,22,823,0.44176060118089105,198,0.10628019323671498,0.4068622333576922,0.0,1.0,0.530900929115774,0.0,1.0,0.5075512405609492,0.0,1.0,0.4288373873403626,0.0,1.0
93,1851,1064,13.010967044840609,39.80388978930308,15,18,803,0.4331175836030205,203,0.10949298813376483,0.4057440616231854,0.0,1.0,0.5315174012303724,0.0,1.0,0.5080601592861749,0.0,1.0,0.42949756888168555,0.0,1.0
94,1835,1089,13.04299727520434,40.73623978201635,10,26,799,0.43165856293895194,175,0.09454349000540249,0.40277753362046237,0.0,1.0,0.533075503208227,0.0,1.0,0.5068647270809528,0.0,1.0,0.42981453810319065,0.0,1.0
95,1832,1102,13.010698689956314,41.50873362445415,12,15,794,0.4326975476839237,187,0.10190735694822889,0.4020812790533878,0.0,1.0,0.5316946048739258,0.0,1.0,0.5067439075926187,0.0,1.0,0.4300957881391745,0.0,1.0
96,1824,1116,13.03514254385963,42.35690789473684,7,15,779,0.4252183406113537,186,0.10152838427947598,0.39968873797396715,0.0,1.0,0.5327532541029995,0.0,1.0,0.5048280984719864,0.0,1.0,0.4310625353706848,0.0,1.0
97,1819,1109,13.064980758658583,43.1544804837823,13,18,806,0.4418859649122807,207,0.11348684210526316,0.39644256858607174,0.0,1.0,0.5325684087321996,0.0,1.0,0.505470925180443,0.0,1.0,0.4305626983986239,0.0,1.0
98,1810,1112,13.124530386740311,44.014364640883976,11,20,770,0.4233095107201759,197,0.10830126443100604,0.39401176260916054,0.0,1.0,0.5338798788094813,0.0,1.0,0.505863482445197,0.0,1.0,0.4305649616824096,0.0,1.0
99,1814,1124,13.05292171995588,44.592061742006614,18,14,752,0.4154696132596685,188,0.10386740331491713,0.3913468719991464,0.0,1.0,0.5326492869082762,0.0,1.0,0.5051214567699257,0.0,1.0,0.43192730376640465,0.0,1.0
100,1813,1125,13.029343629343607,45.22779922779923,19,20,783,0.4316427783902977,199,0.10970231532524807,0.3899969752504315,0.0,1.0,0.5333345195096347,0.0,1.0,0.5049196662099887,0.0,1.0,0.43261035887764,0.0,1.0
101,1813,1128,13.03712079426363,46.027027027027025,12,12,736,0.4059569773855488,197,0.10865968008825151,0.38811095493123143,0.0,1.0,0.5344732487589631,0.0,1.0,0.5041189972065548,0.0,1.0,0.43360674697080226,0.0,1.0
102,1812,1142,13.007781456953621,46.804083885209714,11,12,766,0.42250413678985105,186,0.10259238830667403,0.3865270953499964,0.0,1.0,0.5364238410596026,0.0,1.0,0.5033468632058677,0.0,1.0,0.4336502171900591,0.0,1.0
103,1802,1139,13.095061043285217,47.528856825749166,12,22,758,0.41832229580573954,203,0.1120309050772627,0.3838387454799327,0.0,1.0,0.536035229673123,0.0,1.0,0.5024703734202142,0.0,1.0,0.4334252264508968,0.0,1.0
104,1808,1154,13.011504424778739,48.07632743362832,17,11,737,0.40899001109877914,185,0.10266370699223086,0.3816550099914359,0.0,1.0,0.5370396802740508,0.0,1.0,0.5026049100770769,0.0,1.0,0.4334677419354839,0.0,1.0
105,1803,1165,13.02978369384357,48.875762617859124,12,17,745,0.4120575221238938,189,0.10453539823008849,0.3791351332009375,0.0,1.0,0.5371334514160986,0.0,1.0,0.5024421662820031,0.0,1.0,0.4338289231209632,0.0,1.0
106,1799,1157,13.085436353529715,49.55697609783213,14,18,752,0.4170826400443705,208,0.115363283416528,0.3767325933762485,0.0,1.0,0.5359070451326006,0.0,1.0,0.5027703562911295,0.0,1.0,0.4331617923936237,0.0,1.0
107,1804,1156,13.041297117516606,50.1579822616408,18,13,755,0.4196775986659255,201,0.11172873818788216,0.37534868750447037,0.0,1.0,0.5362635004649167,0.0,1.0,0.5018060224590516,0.0,1.0,0.43167513053429657,0.0,1.0
108,1807,1144,13.065135583840597,50.79302711676812,14,11,732,0.4057649667405765,212,0.11751662971175167,0.3745470125140582,0.0,1.0,0.5364264419729724,0.0,1.0,0.5016691361550958,0.0,1.0,0.4325829658853562,0.0,1.0
109,1807,1165,13.022080796900918,51.50027670171555,12,12,740,0.4095185390149419,179,0.09905921416712783,0.3734223539282718,0.0,1.0,0.5358194833711195,0.0,1.0,0.5001874430976311,0.0,1.0,0.43202956245425495,0.0,1.0
110,1807,1173,12.988876591034838,52.1754288876591,17,17,760,0.42058660763696737,192,0.10625345877144439,0.3710837781387793,0.0,1.0,0.5366228109323955,0.0,1.0,0.5017940982201832,0.0,1.0,0.4316368245354089,0.0,1.0
111,1800,1177,13.052833333333309,52.87722222222222,12,19,724,0.4006640841173215,196,0.10846707249584947,0.3681003584229391,0.0,1.0,0.5367383512544803,0.0,1.0,0.5020071684587813,0.0,1.0,0.432831541218638,0.0,1.0
112,1811,1180,12.962506902263918,53.36223081170624,18,7,739,0.41055555555555556,197,0.10944444444444444,0.3681266810352505,0.0,1.0,0.537877843287437,0.0,1.0,0.5024848150193263,0.0,1.0,0.4318768814235585,0.0,1.0
