step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,689,9.93,98.38,0,0,52,0.52,48,11,0.11,0.19230769230769232,10,1,0.19230769230769232,0.020833333333333332,0.11,0,0,0.0,0.0,0.0,0.5051612903225806,0.27836373392790437,0.0,1.0,0.4693548387096774,0.31435893507650603,0.0,1.0,0.5090322580645161,0.2928058670081979,0.0,1.0,0.4845161290322581,0.28863235583806,0.0,1.0
1,99,866,10.527272727272727,98.36363636363636,0,1,42,0.42,58,23,0.23,0.42857142857142855,18,5,0.42857142857142855,0.08620689655172414,0.23,0,0,0.0,0.0,0.01,0.5057021831215379,0.27971378667103125,0.0,1.0,0.46953405017921146,0.3159375345882818,0.0,1.0,0.5070055392636038,0.29358223674301825,0.0,1.0,0.48843271423916584,0.28743029459421954,0.0,1.0
2,99,1032,11.578787878787878,99.36363636363636,0,0,56,0.5656565656565656,43,34,0.3434343434343434,0.5357142857142857,30,4,0.5357142857142857,0.09302325581395349,0.3434343434343434,0,0,0.0,0.0,0.0,0.5057021831215379,0.27971378667103125,0.0,1.0,0.46953405017921146,0.3159375345882818,0.0,1.0,0.5070055392636038,0.29358223674301825,0.0,1.0,0.48843271423916584,0.28743029459421954,0.0,1.0
3,103,1199,11.774757281553397,94.52427184466019,5,1,55,0.5555555555555556,44,33,0.3333333333333333,0.5272727272727272,29,4,0.5272727272727272,0.09090909090909091,0.3333333333333333,0,0,0.0,0.050505050505050504,0.010101010101010102,0.5061071093015972,0.277313329662376,0.0,1.0,0.47478860006263696,0.31092040566018425,0.0,1.0,0.499217037269026,0.29355284944086735,0.0,1.0,0.4794863764484811,0.285039041995712,0.0,1.0
4,103,1362,12.679611650485437,93.58252427184466,1,1,64,0.6213592233009708,39,37,0.3592233009708738,0.53125,34,3,0.53125,0.07692307692307693,0.3592233009708738,0,0,0.0,0.009708737864077669,0.009708737864077669,0.5098653304102725,0.27654828878765975,0.0,1.0,0.47572815533980584,0.31235656143646684,0.0,1.0,0.4932665205136235,0.29412999338098333,0.0,1.0,0.48011274663326026,0.2846933455113173,0.0,1.0
5,111,1521,12.299999999999999,85.96396396396396,9,1,71,0.6893203883495146,32,43,0.4174757281553398,0.5352112676056338,38,5,0.5352112676056338,0.15625,0.4174757281553398,2,4,2.0,0.08737864077669903,0.009708737864077669,0.5018889857599536,0.27425541414260224,0.0,1.0,0.4818366753850625,0.30486916962412974,0.0,1.0,0.48939261842487647,0.2941200788855888,0.0,1.0,0.47486195873292647,0.280290060218288,0.0,1.0
6,112,1674,13.492857142857144,86.1875,1,0,73,0.6576576576576577,38,50,0.45045045045045046,0.6301369863013698,46,4,0.6301369863013698,0.10526315789473684,0.45045045045045046,3,6,2.0,0.009009009009009009,0.0,0.503168202764977,0.27336075146732125,0.0,1.0,0.486463133640553,0.3073942086482785,0.0,1.0,0.486463133640553,0.29442627101373076,0.0,1.0,0.47379032258064513,0.2792642828104493,0.0,1.0
7,116,1823,14.275862068965518,84.18103448275862,4,0,79,0.7053571428571429,33,54,0.48214285714285715,0.6075949367088608,48,6,0.6075949367088608,0.18181818181818182,0.48214285714285715,3,6,2.0,0.03571428571428571,0.0,0.5005561735261401,0.2712986868326817,0.0,1.0,0.4833147942157953,0.30558635410975044,0.0,1.0,0.48526140155728587,0.297054331721424,0.0,1.0,0.471357063403782,0.27700163702895325,0.0,1.0
8,128,1969,13.878124999999999,77.1953125,12,0,78,0.6724137931034483,38,56,0.4827586206896552,0.6282051282051282,49,7,0.6282051282051282,0.18421052631578946,0.4827586206896552,2,4,2.0,0.10344827586206896,0.0,0.501008064516129,0.2641648403747526,0.0,1.0,0.49848790322580644,0.3038904910076061,0.0,1.0,0.48689516129032256,0.30146185787920726,0.0,1.0,0.4632056451612903,0.2791223975407975,0.0,1.0
9,135,2113,14.308148148148147,74.14074074074074,7,0,77,0.6015625,51,63,0.4921875,0.6623376623376623,51,12,0.6623376623376623,0.23529411764705882,0.4921875,6,13,2.1666666666666665,0.0546875,0.0,0.49486260454002395,0.27046556877778666,0.0,1.0,0.4915173237753883,0.30388366085925783,0.0,1.0,0.4884109916367981,0.29853415506162506,0.0,1.0,0.45280764635603343,0.27778330180399075,0.0,1.0
10,145,2241,14.759310344827586,69.95862068965518,10,0,88,0.6518518518518519,47,80,0.5925925925925926,0.7045454545454546,62,18,0.7045454545454546,0.3829787234042553,0.5925925925925926,8,16,2.0,0.07407407407407407,0.0,0.4945494994438264,0.26893285328911326,0.0,1.0,0.4945494994438264,0.30284583611282806,0.0,1.0,0.48631813125695217,0.30388735159657115,0.0,1.0,0.4493882091212458,0.2760593503195116,0.0,1.0
11,158,2360,14.903797468354428,64.79746835443038,14,1,106,0.7310344827586207,39,91,0.6275862068965518,0.7169811320754716,76,15,0.7169811320754716,0.38461538461538464,0.6275862068965518,8,18,2.25,0.09655172413793103,0.006896551724137931,0.48856676194365045,0.266249980543374,0.0,1.0,0.4910167415271539,0.3012468418738233,0.0,1.0,0.4775418538178849,0.30148363715353543,0.0,1.0,0.4385463454471213,0.2715455440685859,0.0,1.0
