founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,621,50,0,0.0,0.5079365079365079,0.8571428571428571,0.047619047619047616,0.9206349206349206,,,,,,,,,,
1,True,144,2,0,0.0,0.4603174603174603,0.5873015873015873,0.42857142857142855,0.6190476190476191,,,,,,,,,,
2,True,378,3,0,0.0,0.5396825396825397,0.5238095238095238,0.9682539682539683,0.873015873015873,,,,,,,,,,
3,True,972,41,0,0.0,0.09523809523809523,0.047619047619047616,0.5238095238095238,0.6666666666666666,,,,,,,,,,
4,True,3371,414,0,0.0,0.5873015873015873,0.06349206349206349,0.5555555555555556,0.2698412698412698,,,,,,,,,,
5,True,280,5,0,0.0,0.07936507936507936,0.6031746031746031,0.6507936507936508,0.8888888888888888,,,,,,,,,,
6,True,3131,628,0,0.0,0.6666666666666666,0.30158730158730157,0.9682539682539683,0.015873015873015872,,,,,,,,,,
7,True,1467,297,0,0.0,0.6507936507936508,0.20634920634920634,1.0,0.2222222222222222,,,,,,,,,,
8,True,210,4,0,0.0,0.30158730158730157,0.9047619047619048,0.6984126984126984,0.8571428571428571,,,,,,,,,,
9,True,842,58,0,0.0,0.9682539682539683,0.9682539682539683,0.06349206349206349,0.4444444444444444,,,,,,,,,,
10,True,1842,247,0,0.0,0.7619047619047619,0.6666666666666666,0.0,0.8571428571428571,,,,,,,,,,
11,True,132,6,0,0.0,0.9047619047619048,0.5238095238095238,0.3333333333333333,0.0,,,,,,,,,,
12,True,290,11,0,0.0,0.23809523809523808,1.0,0.06349206349206349,0.9523809523809523,,,,,,,,,,
13,True,1142,57,0,0.0,0.5873015873015873,0.873015873015873,0.3333333333333333,0.873015873015873,,,,,,,,,,
14,True,245,21,0,0.0,0.7142857142857143,0.873015873015873,0.25396825396825395,0.5873015873015873,,,,,,,,,,
15,True,1179,67,0,0.0,0.2698412698412698,0.38095238095238093,0.47619047619047616,0.2857142857142857,,,,,,,,,,
16,True,1596,166,0,0.0,0.5238095238095238,0.7619047619047619,0.3492063492063492,0.49206349206349204,,,,,,,,,,
17,True,2922,428,0,0.0,0.4444444444444444,0.8412698412698413,0.6349206349206349,0.4603174603174603,,,,,,,,,,
18,True,187,3,0,0.0,0.0,0.3492063492063492,0.746031746031746,0.5555555555555556,,,,,,,,,,
19,True,2768,1146,0,0.0,0.3968253968253968,0.6666666666666666,0.8888888888888888,0.30158730158730157,,,,,,,,,,
20,True,244,11,0,0.0,0.42857142857142855,0.8571428571428571,0.6349206349206349,0.20634920634920634,,,,,,,,,,
21,True,553,18,0,0.0,0.0,0.873015873015873,0.4126984126984127,0.6031746031746031,,,,,,,,,,
22,False,,1705,21,0.026582278481012658,0.07936507936507936,0.38095238095238093,0.30158730158730157,0.6190476190476191,0.18367346938775508,0.10409455883188488,0.037792894935752074,0.038718816250538766,0.4036281179138322,0.27099798446314816,0.1466364323507181,0.1124425957468729,36.333333333333336,39
23,True,1033,94,0,0.0,0.5396825396825397,0.7619047619047619,1.0,0.6984126984126984,,,,,,,,,,
24,True,269,7,0,0.0,0.8888888888888888,0.9365079365079365,0.6507936507936508,0.5555555555555556,,,,,,,,,,
25,True,449,11,0,0.0,0.42857142857142855,0.5873015873015873,0.12698412698412698,0.6825396825396826,,,,,,,,,,
26,True,767,43,0,0.0,0.6984126984126984,0.9841269841269841,0.4603174603174603,0.7777777777777778,,,,,,,,,,
27,True,381,16,0,0.0,0.1746031746031746,0.2857142857142857,0.9523809523809523,0.31746031746031744,,,,,,,,,,
28,True,2766,109,0,0.0,0.3333333333333333,0.6666666666666666,0.36507936507936506,0.7301587301587301,,,,,,,,,,
29,False,,2111,4,0.005063291139240506,0.8412698412698413,0.5079365079365079,0.5079365079365079,0.873015873015873,0.16269841269841268,0.04811252243246881,0.0,0.0,0.10317460317460317,0.060961474189433394,0.20634920634920634,0.0,37.0,38
30,True,1578,74,0,0.0,0.19047619047619047,0.38095238095238093,0.031746031746031744,1.0,,,,,,,,,,
31,False,,674,18,0.02278481012658228,0.9047619047619048,0.015873015873015872,0.7619047619047619,0.3492063492063492,0.3783068783068783,0.24050805663104674,0.05996472663139328,0.056382248194517745,0.2998236331569665,0.14973534586801499,0.4021164021164021,0.23967728365938887,40.05555555555556,42
32,True,972,66,0,0.0,0.20634920634920634,0.8412698412698413,0.9523809523809523,0.1111111111111111,,,,,,,,,,
33,True,1854,91,0,0.0,0.07936507936507936,0.36507936507936506,0.31746031746031744,0.3492063492063492,,,,,,,,,,
34,True,1652,250,0,0.0,0.5079365079365079,0.5079365079365079,0.20634920634920634,0.15873015873015872,,,,,,,,,,
35,True,516,74,0,0.0,0.6349206349206349,0.6507936507936508,0.5873015873015873,0.15873015873015872,,,,,,,,,,
36,True,56,1,0,0.0,0.5079365079365079,0.4603174603174603,0.873015873015873,0.5873015873015873,,,,,,,,,,
37,True,237,9,0,0.0,0.9682539682539683,0.9682539682539683,0.5714285714285714,0.6825396825396826,,,,,,,,,,
38,False,,4051,67,0.08481012658227848,0.47619047619047616,0.14285714285714285,0.5555555555555556,0.7301587301587301,0.2454394693200663,0.16610057987003052,0.12508884150675192,0.20129435271021726,0.38426913053778716,0.26974422092807776,0.1985311537550343,0.11467113450814773,39.059701492537314,43
39,True,204,21,0,0.0,0.9841269841269841,0.8253968253968254,0.5079365079365079,0.15873015873015872,,,,,,,,,,
