step,simulation_year,day_of_year,month,day_of_month,food_respawn_rate,population_size,food_count,food_respawn_count,food_consumed_count,average_energy,average_age,birth_count,death_count,age_death_count,energy_death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,age_death_rate,energy_death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing,active_lineage_count,largest_lineage_share,average_generation,max_generation
12,1,2,1,2,0.00873559,107,1305,87,18,13.719626168224293,12.383177570093459,0,0,0,0,50,0.4672897196261682,57,18,0.16822429906542055,0.32,16,2,0.32,0.03508771929824561,0.16822429906542055,0,0,0.0,0.0,0.0,0.0,0.0,0.479348809164908,0.29099004097569076,0.0,0.967741935483871,0.5070847151040097,0.30820529884978987,0.0,1.0,0.4621646065722038,0.31442124836600044,0.0,1.0,0.4781429002110341,0.29718591867389677,0.0,0.967741935483871,100,0.018691588785046728,0.06542056074766354,1
13,1,2,1,2,0.00873559,109,1367,87,25,13.902752293577974,13.137614678899082,2,0,0,0,71,0.6635514018691588,36,26,0.24299065420560748,0.36619718309859156,26,0,0.36619718309859156,0.0,0.24299065420560748,1,2,2.0,0.018691588785046728,0.0,0.0,0.0,0.4779520568215448,0.29146023974756163,0.0,0.967741935483871,0.50636282923942,0.30672810651524457,0.0,1.0,0.4690736904409588,0.3163509772286933,0.0,1.0,0.4779520568215448,0.29626824667295476,0.0,0.967741935483871,100,0.01834862385321101,0.08256880733944955,1
14,1,2,1,2,0.00873559,114,1433,87,21,13.40087719298245,13.517543859649123,5,0,0,0,70,0.6422018348623854,39,22,0.2018348623853211,0.3,21,1,0.3,0.02564102564102564,0.2018348623853211,1,2,2.0,0.045871559633027525,0.0,0.0,0.0,0.48217317487266553,0.2951198354510449,0.0,0.967741935483871,0.4985851726089417,0.3067460638500221,0.0,1.0,0.47651386530843237,0.31365801087622813,0.0,1.0,0.47736276174306735,0.29952039556545035,0.0,0.967741935483871,100,0.02631578947368421,0.12280701754385964,1
15,1,2,1,2,0.00873559,114,1492,87,28,13.967543859649117,14.37719298245614,1,1,0,1,73,0.6403508771929824,41,28,0.24561403508771928,0.3424657534246575,25,3,0.3424657534246575,0.07317073170731707,0.24561403508771928,0,0,0.0,0.008771929824561403,0.008771929824561403,0.0,0.008771929824561403,0.4824561403508772,0.29538411036786677,0.0,0.967741935483871,0.5045274476513866,0.30734024179266833,0.0,1.0,0.48358800226372384,0.31338027491737175,0.0,1.0,0.47340124504810416,0.29855325415612277,0.0,0.967741935483871,99,0.02631578947368421,0.13157894736842105,1
16,1,2,1,2,0.00873559,117,1557,87,22,13.838461538461532,14.982905982905983,3,0,0,0,68,0.5964912280701754,46,23,0.20175438596491227,0.3382352941176471,23,0,0.3382352941176471,0.0,0.20175438596491227,1,2,2.0,0.02631578947368421,0.0,0.0,0.0,0.48221670802315963,0.29462082294575836,0.0,0.967741935483871,0.5015164047422113,0.30638981068211657,0.0,1.0,0.4858009374138406,0.3106789990016877,0.0,1.0,0.4725668596636338,0.3002563671035449,0.0,0.967741935483871,99,0.02564102564102564,0.15384615384615385,1
17,1,2,1,2,0.00873559,122,1615,87,29,13.643442622950813,15.327868852459016,5,0,0,0,79,0.6752136752136753,38,32,0.27350427350427353,0.3924050632911392,31,1,0.3924050632911392,0.02631578947368421,0.27350427350427353,2,5,2.5,0.042735042735042736,0.0,0.0,0.0,0.48704389212057114,0.29247133131560177,0.0,0.967741935483871,0.5044949762030672,0.3023273245838451,0.0,1.0,0.4783183500793231,0.3143772523652795,0.0,1.0,0.4769962982548916,0.30063446860025833,0.0,0.967741935483871,99,0.02459016393442623,0.1885245901639344,1
18,1,2,1,2,0.00873559,125,1678,87,24,13.555199999999992,15.936,3,0,0,0,77,0.6311475409836066,45,24,0.19672131147540983,0.2987012987012987,23,1,0.2987012987012987,0.022222222222222223,0.19672131147540983,0,0,0.0,0.02459016393442623,0.0,0.0,0.0,0.4929032258064516,0.2918411895479344,0.0,0.967741935483871,0.5099354838709678,0.30226879865265255,0.0,1.0,0.47716129032258064,0.3108926692944363,0.0,1.0,0.4743225806451613,0.30398050214048544,0.0,0.967741935483871,99,0.024,0.216,2
19,1,2,1,2,0.00873559,124,1738,87,27,14.168548387096767,16.911290322580644,0,1,0,1,70,0.56,55,27,0.216,0.38571428571428573,27,0,0.38571428571428573,0.0,0.216,0,0,0.0,0.0,0.008,0.0,0.008,0.4890738813735692,0.28987093719303153,0.0,0.967741935483871,0.5130072840790842,0.3015356663736088,0.0,1.0,0.47346514047866806,0.3093962364593145,0.0,1.0,0.4781477627471384,0.30219255143146645,0.0,0.967741935483871,98,0.024193548387096774,0.21774193548387097,2
20,1,3,1,3,0.0087,128,1796,87,29,14.054687499999991,17.1875,5,1,0,1,82,0.6612903225806451,42,29,0.23387096774193547,0.35365853658536583,29,0,0.35365853658536583,0.0,0.23387096774193547,0,0,0.0,0.04032258064516129,0.008064516129032258,0.0,0.008064516129032258,0.4894153225806452,0.28945629534356626,0.0,0.967741935483871,0.516633064516129,0.30335833730261014,0.0,1.0,0.4810987903225806,0.30977682753613023,0.0,1.0,0.477570564516129,0.30223270029450616,0.0,0.967741935483871,97,0.03125,0.25,2
21,1,3,1,3,0.0087,133,1848,87,35,14.009022556390969,17.338345864661655,6,1,0,1,85,0.6640625,43,37,0.2890625,0.4235294117647059,36,1,0.4235294117647059,0.023255813953488372,0.2890625,2,4,2.0,0.046875,0.0078125,0.0,0.0078125,0.4913897647344167,0.2932556508679418,0.0,0.967741935483871,0.5103080281348533,0.30205973991475904,0.0,1.0,0.4865389279650739,0.30791409998301716,0.0,1.0,0.46543778801843316,0.3014491615670382,0.0,0.967741935483871,96,0.03007518796992481,0.2932330827067669,2
