organism_id,parent_id,founder_id,generation,birth_step,birth_x,birth_y,lifespan,birth_exploration_tendency,birth_site_fidelity,birth_risk_tolerance,birth_reproduction_timing,death_step,death_cause
0,,0,0,0,77,63,172,0.7419354838709677,0.1935483870967742,0.06451612903225806,0.7741935483870968,15.0,energy
1,,1,0,0,49,85,179,0.3225806451612903,0.8709677419354839,0.0,0.7096774193548387,,
2,,2,0,0,85,55,238,0.25806451612903225,0.967741935483871,0.7419354838709677,0.8709677419354839,,
3,,3,0,0,73,80,246,0.6451612903225806,0.06451612903225806,0.5806451612903226,0.06451612903225806,,
4,,4,0,0,48,47,185,0.5806451612903226,0.7419354838709677,0.03225806451612903,0.7741935483870968,,
5,,5,0,0,59,28,159,0.8387096774193549,0.9032258064516129,0.4838709677419355,0.0967741935483871,,
6,,6,0,0,80,49,153,0.3870967741935484,0.6129032258064516,0.7419354838709677,0.8709677419354839,,
7,,7,0,0,72,85,182,0.6774193548387096,0.12903225806451613,0.8387096774193549,0.41935483870967744,,
8,,8,0,0,31,98,246,0.16129032258064516,0.6774193548387096,0.03225806451612903,0.967741935483871,,
9,,9,0,0,16,74,186,0.6129032258064516,0.12903225806451613,0.2903225806451613,0.8387096774193549,,
10,,10,0,0,99,18,170,0.6129032258064516,0.3548387096774194,0.3870967741935484,0.7096774193548387,,
11,,11,0,0,60,8,241,0.0967741935483871,0.4838709677419355,0.3870967741935484,0.16129032258064516,,
12,,12,0,0,12,18,165,0.03225806451612903,0.9032258064516129,0.9032258064516129,0.3870967741935484,,
13,,13,0,0,6,30,161,0.45161290322580644,0.8064516129032258,0.0967741935483871,0.06451612903225806,,
14,,14,0,0,94,11,165,0.45161290322580644,0.3225806451612903,0.7741935483870968,0.3870967741935484,,
15,,15,0,0,75,0,217,0.0967741935483871,0.25806451612903225,1.0,0.22580645161290322,,
16,,16,0,0,52,50,215,0.2903225806451613,0.3548387096774194,0.2903225806451613,0.2903225806451613,,
17,,17,0,0,0,2,242,0.0,0.2903225806451613,0.8709677419354839,0.1935483870967742,,
18,,18,0,0,86,84,209,0.12903225806451613,0.06451612903225806,0.7096774193548387,0.03225806451612903,,
19,,19,0,0,66,64,216,0.6774193548387096,0.3870967741935484,0.45161290322580644,0.3225806451612903,,
20,,20,0,0,50,38,162,0.03225806451612903,0.2903225806451613,0.6129032258064516,0.7741935483870968,,
21,,21,0,0,2,58,213,0.9354838709677419,0.06451612903225806,0.3225806451612903,0.5806451612903226,,
22,,22,0,0,23,62,218,0.5483870967741935,0.967741935483871,0.03225806451612903,0.3548387096774194,,
23,,23,0,0,33,68,240,0.0967741935483871,0.8387096774193549,0.9032258064516129,0.9032258064516129,,
24,,24,0,0,89,86,156,0.8709677419354839,0.6451612903225806,0.6774193548387096,0.4838709677419355,,
25,,25,0,0,2,97,202,0.3870967741935484,0.6451612903225806,0.06451612903225806,0.45161290322580644,,
26,,26,0,0,38,83,249,0.7741935483870968,0.16129032258064516,0.8387096774193549,0.6774193548387096,,
27,,27,0,0,67,93,162,0.5483870967741935,1.0,0.0,0.0967741935483871,,
28,,28,0,0,89,95,250,0.8064516129032258,0.0,0.7419354838709677,0.4838709677419355,,
29,,29,0,0,18,83,173,0.8709677419354839,0.967741935483871,0.5806451612903226,0.6451612903225806,,
30,,30,0,0,21,8,250,0.03225806451612903,0.22580645161290322,0.03225806451612903,0.5161290322580645,,
