founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,15,1,0,0.0,0.7419354838709677,0.1935483870967742,0.06451612903225806,0.7741935483870968,,,,,,,,,,
1,False,,1,1,0.007518796992481203,0.3225806451612903,0.8709677419354839,0.0,0.7096774193548387,0.3225806451612903,0.0,0.8709677419354839,0.0,0.0,0.0,0.7096774193548387,0.0,0.0,0
2,False,,1,1,0.007518796992481203,0.25806451612903225,0.967741935483871,0.7419354838709677,0.8709677419354839,0.25806451612903225,0.0,0.967741935483871,0.0,0.7419354838709677,0.0,0.8709677419354839,0.0,0.0,0
3,False,,2,2,0.015037593984962405,0.6451612903225806,0.06451612903225806,0.5806451612903226,0.06451612903225806,0.6451612903225806,0.0,0.06451612903225806,0.0,0.5806451612903226,0.0,0.06451612903225806,0.0,0.5,1
4,False,,1,1,0.007518796992481203,0.5806451612903226,0.7419354838709677,0.03225806451612903,0.7741935483870968,0.5806451612903226,0.0,0.7419354838709677,0.0,0.03225806451612903,0.0,0.7741935483870968,0.0,0.0,0
5,False,,2,2,0.015037593984962405,0.8387096774193549,0.9032258064516129,0.4838709677419355,0.0967741935483871,0.8387096774193549,0.0,0.9032258064516129,0.0,0.4838709677419355,0.0,0.0967741935483871,0.0,0.5,1
6,False,,1,1,0.007518796992481203,0.3870967741935484,0.6129032258064516,0.7419354838709677,0.8709677419354839,0.3870967741935484,0.0,0.6129032258064516,0.0,0.7419354838709677,0.0,0.8709677419354839,0.0,0.0,0
7,False,,1,1,0.007518796992481203,0.6774193548387096,0.12903225806451613,0.8387096774193549,0.41935483870967744,0.6774193548387096,0.0,0.12903225806451613,0.0,0.8387096774193549,0.0,0.41935483870967744,0.0,0.0,0
8,False,,1,1,0.007518796992481203,0.16129032258064516,0.6774193548387096,0.03225806451612903,0.967741935483871,0.16129032258064516,0.0,0.6774193548387096,0.0,0.03225806451612903,0.0,0.967741935483871,0.0,0.0,0
9,False,,1,1,0.007518796992481203,0.6129032258064516,0.12903225806451613,0.2903225806451613,0.8387096774193549,0.6129032258064516,0.0,0.12903225806451613,0.0,0.2903225806451613,0.0,0.8387096774193549,0.0,0.0,0
10,False,,1,1,0.007518796992481203,0.6129032258064516,0.3548387096774194,0.3870967741935484,0.7096774193548387,0.6129032258064516,0.0,0.3548387096774194,0.0,0.3870967741935484,0.0,0.7096774193548387,0.0,0.0,0
11,False,,1,1,0.007518796992481203,0.0967741935483871,0.4838709677419355,0.3870967741935484,0.16129032258064516,0.0967741935483871,0.0,0.4838709677419355,0.0,0.3870967741935484,0.0,0.16129032258064516,0.0,0.0,0
12,False,,1,1,0.007518796992481203,0.03225806451612903,0.9032258064516129,0.9032258064516129,0.3870967741935484,0.03225806451612903,0.0,0.9032258064516129,0.0,0.9032258064516129,0.0,0.3870967741935484,0.0,0.0,0
13,False,,2,2,0.015037593984962405,0.45161290322580644,0.8064516129032258,0.0967741935483871,0.06451612903225806,0.45161290322580644,0.0,0.8064516129032258,0.0,0.0967741935483871,0.0,0.06451612903225806,0.0,0.5,1
14,False,,2,2,0.015037593984962405,0.45161290322580644,0.3225806451612903,0.7741935483870968,0.3870967741935484,0.45161290322580644,0.0,0.3225806451612903,0.0,0.7741935483870968,0.0,0.3870967741935484,0.0,0.5,1
15,False,,2,2,0.015037593984962405,0.0967741935483871,0.25806451612903225,1.0,0.22580645161290322,0.0967741935483871,0.0,0.25806451612903225,0.0,1.0,0.0,0.22580645161290322,0.0,0.5,1
16,False,,1,1,0.007518796992481203,0.2903225806451613,0.3548387096774194,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.0,0.3548387096774194,0.0,0.2903225806451613,0.0,0.2903225806451613,0.0,0.0,0
17,False,,2,2,0.015037593984962405,0.0,0.2903225806451613,0.8709677419354839,0.1935483870967742,0.0,0.0,0.2903225806451613,0.0,0.8709677419354839,0.0,0.1935483870967742,0.0,0.5,1
18,False,,4,4,0.03007518796992481,0.12903225806451613,0.06451612903225806,0.7096774193548387,0.03225806451612903,0.12903225806451613,0.0,0.06451612903225806,0.0,0.7096774193548387,0.0,0.03225806451612903,0.0,0.75,1
19,False,,2,2,0.015037593984962405,0.6774193548387096,0.3870967741935484,0.45161290322580644,0.3225806451612903,0.6774193548387096,0.0,0.3870967741935484,0.0,0.4193548387096774,0.03225806451612903,0.3225806451612903,0.0,0.5,1
20,False,,1,1,0.007518796992481203,0.03225806451612903,0.2903225806451613,0.6129032258064516,0.7741935483870968,0.03225806451612903,0.0,0.2903225806451613,0.0,0.6129032258064516,0.0,0.7741935483870968,0.0,0.0,0
21,False,,1,1,0.007518796992481203,0.9354838709677419,0.06451612903225806,0.3225806451612903,0.5806451612903226,0.9354838709677419,0.0,0.06451612903225806,0.0,0.3225806451612903,0.0,0.5806451612903226,0.0,0.0,0
22,False,,1,1,0.007518796992481203,0.5483870967741935,0.967741935483871,0.03225806451612903,0.3548387096774194,0.5483870967741935,0.0,0.967741935483871,0.0,0.03225806451612903,0.0,0.3548387096774194,0.0,0.0,0
23,False,,1,1,0.007518796992481203,0.0967741935483871,0.8387096774193549,0.9032258064516129,0.9032258064516129,0.0967741935483871,0.0,0.8387096774193549,0.0,0.9032258064516129,0.0,0.9032258064516129,0.0,0.0,0
24,False,,1,1,0.007518796992481203,0.8709677419354839,0.6451612903225806,0.6774193548387096,0.4838709677419355,0.8709677419354839,0.0,0.6451612903225806,0.0,0.6774193548387096,0.0,0.4838709677419355,0.0,0.0,0
25,False,,1,1,0.007518796992481203,0.3870967741935484,0.6451612903225806,0.06451612903225806,0.45161290322580644,0.3870967741935484,0.0,0.6451612903225806,0.0,0.06451612903225806,0.0,0.45161290322580644,0.0,0.0,0
26,False,,1,1,0.007518796992481203,0.7741935483870968,0.16129032258064516,0.8387096774193549,0.6774193548387096,0.7741935483870968,0.0,0.16129032258064516,0.0,0.8387096774193549,0.0,0.6774193548387096,0.0,0.0,0
27,False,,1,1,0.007518796992481203,0.5483870967741935,1.0,0.0,0.0967741935483871,0.5483870967741935,0.0,1.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0
28,False,,2,2,0.015037593984962405,0.8064516129032258,0.0,0.7419354838709677,0.4838709677419355,0.8064516129032258,0.0,0.0,0.0,0.7419354838709677,0.0,0.4838709677419355,0.0,0.5,1
