founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,2645,221,0,0.0,0.09523809523809523,0.0,0.0,0.5555555555555556,,,,,,,,,,
1,True,1165,59,0,0.0,0.49206349206349204,0.38095238095238093,0.6031746031746031,0.6190476190476191,,,,,,,,,,
2,True,461,26,0,0.0,0.5555555555555556,0.4603174603174603,0.9365079365079365,0.9365079365079365,,,,,,,,,,
3,True,745,28,0,0.0,0.25396825396825395,0.5714285714285714,0.4126984126984127,0.9206349206349206,,,,,,,,,,
4,True,1538,90,0,0.0,1.0,0.2222222222222222,0.14285714285714285,0.4603174603174603,,,,,,,,,,
5,True,34,1,0,0.0,0.746031746031746,0.6031746031746031,0.09523809523809523,0.9365079365079365,,,,,,,,,,
6,True,255,7,0,0.0,0.6349206349206349,0.8095238095238095,0.31746031746031744,0.8571428571428571,,,,,,,,,,
7,True,332,6,0,0.0,0.9206349206349206,0.9206349206349206,0.3333333333333333,0.9365079365079365,,,,,,,,,,
8,False,,5146,101,0.12720403022670027,0.2222222222222222,0.2857142857142857,0.06349206349206349,0.38095238095238093,0.29200062863429194,0.14659028553485323,0.04887631620304887,0.10112467267357139,0.45293100738645287,0.2613320724385423,0.23605217664623598,0.1936796902040184,37.475247524752476,42
9,True,499,24,0,0.0,0.6031746031746031,0.36507936507936506,0.8888888888888888,0.09523809523809523,,,,,,,,,,
10,True,1190,123,0,0.0,0.19047619047619047,0.2857142857142857,0.6349206349206349,0.20634920634920634,,,,,,,,,,
11,True,1798,120,0,0.0,0.23809523809523808,0.8253968253968254,0.20634920634920634,0.5079365079365079,,,,,,,,,,
12,True,260,8,0,0.0,0.5873015873015873,0.3333333333333333,0.06349206349206349,0.9682539682539683,,,,,,,,,,
13,True,543,15,0,0.0,0.3968253968253968,0.9365079365079365,0.6825396825396826,0.746031746031746,,,,,,,,,,
14,False,,10044,140,0.17632241813602015,0.36507936507936506,0.5238095238095238,0.7777777777777778,0.14285714285714285,0.30215419501133783,0.1530786502216285,0.02664399092970521,0.07998100810144107,0.6071428571428571,0.30469886087346354,0.191156462585034,0.13167185613125568,39.31428571428572,46
15,True,653,120,0,0.0,0.7142857142857143,0.6984126984126984,0.4603174603174603,0.3492063492063492,,,,,,,,,,
16,True,348,10,0,0.0,0.873015873015873,0.06349206349206349,0.746031746031746,0.4603174603174603,,,,,,,,,,
17,True,3466,324,0,0.0,0.14285714285714285,0.4603174603174603,0.7619047619047619,0.23809523809523808,,,,,,,,,,
18,True,23,1,0,0.0,0.7936507936507936,0.8253968253968254,0.8412698412698413,0.4444444444444444,,,,,,,,,,
19,False,,2627,16,0.020151133501259445,0.7619047619047619,0.19047619047619047,0.9841269841269841,0.8253968253968254,0.25595238095238093,0.08563984863058427,0.01984126984126984,0.03436608745176344,0.5,0.25116257775312156,0.14980158730158727,0.16656920336212322,33.125,36
20,True,722,89,0,0.0,0.5079365079365079,0.4126984126984127,0.9206349206349206,0.6031746031746031,,,,,,,,,,
21,True,1008,117,0,0.0,0.5396825396825397,0.1746031746031746,0.25396825396825395,0.5238095238095238,,,,,,,,,,
22,True,964,70,0,0.0,0.8412698412698413,0.20634920634920634,0.25396825396825395,0.8095238095238095,,,,,,,,,,
23,True,389,25,0,0.0,0.6666666666666666,0.9047619047619048,0.23809523809523808,0.38095238095238093,,,,,,,,,,
24,True,263,25,0,0.0,0.6190476190476191,0.4444444444444444,0.42857142857142855,0.047619047619047616,,,,,,,,,,
25,True,185,2,0,0.0,0.6507936507936508,0.6190476190476191,0.07936507936507936,0.7142857142857143,,,,,,,,,,
26,True,3462,421,0,0.0,0.47619047619047616,0.2698412698412698,0.9365079365079365,0.30158730158730157,,,,,,,,,,
27,True,148,6,0,0.0,0.9365079365079365,0.7301587301587301,0.9365079365079365,0.5079365079365079,,,,,,,,,,
28,True,354,19,0,0.0,0.14285714285714285,0.14285714285714285,0.9047619047619048,0.25396825396825395,,,,,,,,,,
29,True,766,27,0,0.0,0.30158730158730157,0.7619047619047619,0.47619047619047616,0.0,,,,,,,,,,
30,False,,332,25,0.031486146095717885,0.015873015873015872,0.5555555555555556,0.4126984126984127,0.9365079365079365,0.09269841269841271,0.06608666824578668,0.015238095238095238,0.01586031237688482,0.5904761904761905,0.12311567891850994,0.07873015873015872,0.03433271323071943,36.84,39
31,True,383,21,0,0.0,0.8253968253968254,0.19047619047619047,0.5079365079365079,0.5873015873015873,,,,,,,,,,
32,True,33,1,0,0.0,0.8095238095238095,0.7777777777777778,0.6984126984126984,0.6984126984126984,,,,,,,,,,
33,True,233,5,0,0.0,0.14285714285714285,0.36507936507936506,0.30158730158730157,0.2698412698412698,,,,,,,,,,
34,True,2442,377,0,0.0,0.36507936507936506,0.6507936507936508,0.015873015873015872,0.2222222222222222,,,,,,,,,,
35,True,341,15,0,0.0,0.5873015873015873,0.14285714285714285,0.8888888888888888,0.873015873015873,,,,,,,,,,
