step,population_size,food_count,average_energy,average_age,birth_count,death_count,age_death_count,energy_death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,age_death_rate,energy_death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing,active_lineage_count,largest_lineage_share,average_generation,max_generation
0,100,492,9.844999999999999,1.0,0,0,0,0,51,0.51,49,8,0.08,0.11764705882352941,6,2,0.11764705882352941,0.04081632653061224,0.08,0,0,0.0,0.0,0.0,0.0,0.0,0.5096774193548387,0.3112192798759313,0.0,1.0,0.5412903225806451,0.28901425635184463,0.0,1.0,0.49129032258064514,0.28080659057638624,0.0,1.0,0.5019354838709678,0.30474294450708295,0.0,1.0,100,0.01,0.0,0
1,100,669,10.494999999999997,2.0,0,0,0,0,40,0.4,60,24,0.24,0.5,20,4,0.5,0.06666666666666667,0.24,1,2,2.0,0.0,0.0,0.0,0.0,0.5096774193548387,0.3112192798759313,0.0,1.0,0.5412903225806451,0.28901425635184463,0.0,1.0,0.49129032258064514,0.28080659057638624,0.0,1.0,0.5019354838709678,0.30474294450708295,0.0,1.0,100,0.01,0.0,0
2,101,847,10.920792079207919,2.9702970297029703,1,0,0,0,43,0.43,57,22,0.22,0.4418604651162791,19,3,0.4418604651162791,0.05263157894736842,0.22,0,0,0.0,0.01,0.0,0.0,0.0,0.5129351644841903,0.3113835993484094,0.0,1.0,0.5388054934525711,0.2886514433919489,0.0,1.0,0.49377195784094535,0.28051288101804783,0.0,1.0,0.502714787607793,0.3033306873915822,0.0,1.0,100,0.019801980198019802,0.009900990099009901,1
3,103,1024,11.191262135922328,3.8932038834951457,2,0,0,0,50,0.49504950495049505,51,24,0.2376237623762376,0.38,19,5,0.38,0.09803921568627451,0.2376237623762376,1,2,2.0,0.019801980198019802,0.0,0.0,0.0,0.5036016285624804,0.3154307214049325,0.0,1.0,0.5355465079862198,0.2882565526239315,0.0,1.0,0.49514563106796117,0.2790449295665691,0.0,1.0,0.4963983714375195,0.30391446509747744,0.0,1.0,100,0.019417475728155338,0.02912621359223301,1
4,105,1196,11.655238095238092,4.8,2,0,0,0,56,0.5436893203883495,47,28,0.27184466019417475,0.4107142857142857,23,5,0.4107142857142857,0.10638297872340426,0.27184466019417475,0,0,0.0,0.019417475728155338,0.0,0.0,0.0,0.5084485407066053,0.3156717533372103,0.0,1.0,0.5274961597542243,0.29136120590981324,0.0,1.0,0.4918586789554531,0.2782711515800974,0.0,1.0,0.4943164362519201,0.30137669478060997,0.0,1.0,100,0.01904761904761905,0.047619047619047616,1
5,108,1362,12.18796296296296,5.638888888888889,3,0,0,0,62,0.5904761904761905,43,34,0.3238095238095238,0.5,31,3,0.5,0.06976744186046512,0.3238095238095238,0,0,0.0,0.02857142857142857,0.0,0.0,0.0,0.5065710872162486,0.31668018358611144,0.0,1.0,0.52389486260454,0.2888876783318988,0.0,1.0,0.4958183990442055,0.2769240873941245,0.0,1.0,0.4871565113500597,0.3009773206909985,0.0,1.0,100,0.027777777777777776,0.07407407407407407,1
6,115,1521,12.351304347826083,6.234782608695652,7,0,0,0,67,0.6203703703703703,41,41,0.37962962962962965,0.5522388059701493,37,4,0.5522388059701493,0.0975609756097561,0.37962962962962965,0,0,0.0,0.06481481481481481,0.0,0.0,0.0,0.5079943899018233,0.31902226660855837,0.0,1.0,0.5155680224403927,0.2884302551769595,0.0,1.0,0.4976157082748948,0.2747436399177452,0.0,1.0,0.48892005610098177,0.3057189530567506,0.0,1.0,100,0.02608695652173913,0.13043478260869565,1
7,117,1678,13.3025641025641,7.111111111111111,2,0,0,0,69,0.6,46,46,0.4,0.5942028985507246,41,5,0.5942028985507246,0.10869565217391304,0.4,3,6,2.0,0.017391304347826087,0.0,0.0,0.0,0.5108905431486077,0.31805362917329855,0.0,1.0,0.511993382961125,0.28724399225242925,0.0,1.0,0.5020678246484698,0.2744775322836725,0.0,1.0,0.4844223876481941,0.30573561113546815,0.0,1.0,100,0.03418803418803419,0.1452991452991453,1
8,124,1831,13.587096774193544,7.653225806451613,7,0,0,0,73,0.6239316239316239,44,47,0.4017094017094017,0.5068493150684932,37,10,0.5068493150684932,0.22727272727272727,0.4017094017094017,0,0,0.0,0.05982905982905983,0.0,0.0,0.0,0.5010405827263267,0.3237086283804136,0.0,1.0,0.49947970863683666,0.2885389734493712,0.0,1.0,0.5005202913631633,0.27123902080532986,0.0,1.0,0.47580645161290325,0.30420130576068316,0.0,1.0,100,0.04032258064516129,0.20967741935483872,2
9,132,1968,14.25454545454545,8.128787878787879,8,0,0,0,82,0.6612903225806451,42,63,0.5080645161290323,0.6097560975609756,50,13,0.6097560975609756,0.30952380952380953,0.5080645161290323,0,0,0.0,0.06451612903225806,0.0,0.0,0.0,0.512218963831867,0.324870424119047,0.0,1.0,0.49902248289345064,0.28587445581813814,0.0,1.0,0.5083088954056696,0.27248103046323396,0.0,1.0,0.4755620723362659,0.3065061743917477,0.0,1.0,100,0.045454545454545456,0.2727272727272727,2
