organism_id,parent_id,founder_id,generation,birth_step,birth_x,birth_y,lifespan,birth_exploration_tendency,birth_site_fidelity,birth_risk_tolerance,birth_reproduction_timing,death_step,death_cause
0,,0,0,0,21,65,201,0.0967741935483871,0.0,0.0,0.06451612903225806,200.0,age
1,,1,0,0,74,92,235,0.8387096774193549,1.0,0.3870967741935484,0.2903225806451613,98.0,energy
2,,2,0,0,17,4,174,0.6129032258064516,0.967741935483871,0.1935483870967742,0.9354838709677419,173.0,age
3,,3,0,0,3,41,235,0.7419354838709677,0.8709677419354839,0.06451612903225806,0.06451612903225806,84.0,energy
4,,4,0,0,69,72,218,0.1935483870967742,0.7419354838709677,0.3548387096774194,1.0,217.0,age
5,,5,0,0,81,68,188,0.45161290322580644,0.12903225806451613,0.7419354838709677,0.41935483870967744,187.0,age
6,,6,0,0,90,77,197,0.9032258064516129,0.7741935483870968,0.41935483870967744,0.8709677419354839,192.0,energy
7,,7,0,0,40,94,212,0.6451612903225806,0.3870967741935484,0.8387096774193549,0.6129032258064516,211.0,age
8,,8,0,0,68,77,164,0.0967741935483871,0.8387096774193549,0.9354838709677419,0.16129032258064516,163.0,age
9,,9,0,0,21,87,219,0.8709677419354839,0.3870967741935484,0.9032258064516129,0.5806451612903226,101.0,energy
10,,10,0,0,68,74,199,0.25806451612903225,0.7741935483870968,0.3870967741935484,0.8064516129032258,198.0,age
11,,11,0,0,96,49,208,0.9032258064516129,0.03225806451612903,0.5161290322580645,0.3870967741935484,125.0,energy
12,,12,0,0,50,57,209,0.16129032258064516,0.25806451612903225,0.1935483870967742,0.5483870967741935,208.0,age
13,,13,0,0,69,38,177,0.4838709677419355,0.8387096774193549,0.0967741935483871,0.3870967741935484,176.0,age
14,,14,0,0,46,8,248,0.16129032258064516,0.16129032258064516,0.3225806451612903,0.5483870967741935,247.0,age
15,,15,0,0,22,69,204,0.9354838709677419,0.6129032258064516,0.22580645161290322,0.7419354838709677,82.0,energy
16,,16,0,0,99,20,233,0.9354838709677419,0.9354838709677419,0.3548387096774194,0.7741935483870968,149.0,energy
17,,17,0,0,88,1,209,0.7741935483870968,0.5806451612903226,0.45161290322580644,0.7096774193548387,64.0,energy
18,,18,0,0,19,57,156,0.3870967741935484,0.45161290322580644,0.6774193548387096,0.5483870967741935,122.0,energy
19,,19,0,0,94,39,187,0.7741935483870968,0.5806451612903226,0.967741935483871,0.9354838709677419,74.0,energy
20,,20,0,0,7,38,216,0.12903225806451613,0.7419354838709677,0.45161290322580644,0.0,139.0,energy
21,,21,0,0,69,53,245,0.5483870967741935,0.8064516129032258,0.41935483870967744,0.1935483870967742,90.0,energy
22,,22,0,0,52,57,157,0.45161290322580644,0.22580645161290322,0.0,0.3870967741935484,156.0,age
23,,23,0,0,87,79,174,0.9354838709677419,0.6451612903225806,0.7096774193548387,0.0,36.0,energy
24,,24,0,0,17,48,176,0.7419354838709677,0.3225806451612903,0.3870967741935484,0.3870967741935484,81.0,energy
25,,25,0,0,38,67,186,0.06451612903225806,0.8387096774193549,0.06451612903225806,0.0967741935483871,185.0,age
26,,26,0,0,40,76,200,0.8387096774193549,0.6129032258064516,0.3225806451612903,0.0967741935483871,66.0,energy
27,,27,0,0,38,27,248,0.967741935483871,0.6774193548387096,0.45161290322580644,0.2903225806451613,59.0,energy
28,,28,0,0,97,69,156,0.3870967741935484,0.41935483870967744,0.6129032258064516,0.7419354838709677,155.0,age
29,,29,0,0,50,34,213,0.8709677419354839,0.03225806451612903,0.967741935483871,0.6129032258064516,131.0,energy
30,,30,0,0,62,40,227,0.9032258064516129,0.3548387096774194,0.41935483870967744,0.03225806451612903,187.0,energy
31,,31,0,0,15,93,223,0.5806451612903226,0.22580645161290322,0.7096774193548387,0.6129032258064516,222.0,age
32,,32,0,0,76,62,207,0.9354838709677419,0.8709677419354839,0.7419354838709677,0.45161290322580644,62.0,energy
33,,33,0,0,36,58,160,0.12903225806451613,0.2903225806451613,0.12903225806451613,0.967741935483871,159.0,age
34,,34,0,0,50,67,230,0.25806451612903225,0.3225806451612903,0.6129032258064516,0.7741935483870968,147.0,energy
35,,35,0,0,96,88,246,0.967741935483871,0.0,0.12903225806451613,0.0967741935483871,114.0,energy
36,,36,0,0,58,19,196,0.7096774193548387,0.7419354838709677,0.41935483870967744,0.8387096774193549,195.0,age
37,,37,0,0,68,30,193,0.3870967741935484,0.5161290322580645,0.2903225806451613,0.45161290322580644,192.0,age
38,,38,0,0,44,23,198,0.6129032258064516,0.7741935483870968,0.8709677419354839,0.16129032258064516,74.0,energy
39,,39,0,0,94,54,194,0.25806451612903225,0.5806451612903226,0.7419354838709677,0.2903225806451613,193.0,age
40,,40,0,0,65,36,236,0.5483870967741935,0.3225806451612903,0.967741935483871,0.5806451612903226,106.0,energy
