step,population_size,food_count,average_energy,average_age,birth_count,death_count,age_death_count,energy_death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,age_death_rate,energy_death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
27,673,2518,15.346210995542343,10.222882615156017,45,2,0,2,463,0.734920634920635,167,462,0.7333333333333333,0.8336933045356372,386,76,0.8336933045356372,0.4550898203592814,0.7333333333333333,109,298,2.7339449541284404,0.07142857142857142,0.0031746031746031746,0.0,0.0031746031746031746,0.571681924938887,0.27460148276123686,0.0,1.0,0.49120452475674636,0.32399206379898565,0.0,1.0,0.5404304270718496,0.2568365038134897,0.0,1.0,0.37147102526002973,0.2969183866544857,0.0,1.0
28,705,2442,15.591063829787227,10.713475177304964,32,0,0,0,489,0.7265973254086181,184,495,0.7355126300148589,0.8323108384458078,407,88,0.8323108384458078,0.4782608695652174,0.7355126300148589,126,345,2.738095238095238,0.0475482912332838,0.0,0.0,0.0,0.5717227179135209,0.2737755405249856,0.0,1.0,0.4904140928849234,0.3259671118571227,0.0,1.0,0.5386410432395333,0.25582027705535537,0.0,1.0,0.37428506062685885,0.29925453890479764,0.0,1.0
29,734,2388,15.705313351498631,11.216621253405995,31,2,0,2,509,0.7219858156028369,196,507,0.7191489361702128,0.8290766208251473,422,85,0.8290766208251473,0.4336734693877551,0.7191489361702128,126,379,3.007936507936508,0.04397163120567376,0.0028368794326241137,0.0,0.0028368794326241137,0.5765579678298322,0.27446154511865256,0.0,1.0,0.4906390085259735,0.32554167371160564,0.0,1.0,0.540520348070669,0.25486209414764754,0.0,1.0,0.37114353520260174,0.2973271363099303,0.0,1.0
30,768,2343,15.558593749999993,11.640625,36,2,0,2,551,0.7506811989100818,183,529,0.720708446866485,0.7931034482758621,437,92,0.7931034482758621,0.5027322404371585,0.720708446866485,139,423,3.0431654676258995,0.04904632152588556,0.0027247956403269754,0.0,0.0027247956403269754,0.5743867607526881,0.27596206929978884,0.0,1.0,0.4855510752688172,0.32686568578695485,0.0,1.0,0.543934811827957,0.25322390640249964,0.0,1.0,0.36664146505376344,0.2963416757293158,0.0,1.0
31,800,2282,15.562124999999995,12.12875,33,1,0,1,563,0.7330729166666666,205,563,0.7330729166666666,0.8312611012433393,468,95,0.8312611012433393,0.4634146341463415,0.7330729166666666,135,437,3.237037037037037,0.04296875,0.0013020833333333333,0.0,0.0013020833333333333,0.5744354838709678,0.27641499315182944,0.0,1.0,0.4888709677419355,0.32772665540961565,0.0,1.0,0.5453225806451613,0.25325349139805947,0.0,1.0,0.36713709677419354,0.2978257989003551,0.0,1.0
32,827,2229,15.604594921402654,12.684401451027812,28,1,0,1,590,0.7375,210,581,0.72625,0.7898305084745763,466,115,0.7898305084745763,0.5476190476190477,0.72625,143,471,3.2937062937062938,0.035,0.00125,0.0,0.00125,0.5733120099855677,0.2758737230287214,0.0,1.0,0.4869134454109295,0.32751356276654203,0.0,1.0,0.5452276007333151,0.2516638723299763,0.0,1.0,0.36989507352654366,0.29933365097278963,0.0,1.0
33,867,2154,15.456747404844284,13.044982698961938,41,1,0,1,592,0.7158403869407497,235,628,0.7593712212817413,0.8344594594594594,494,134,0.8344594594594594,0.5702127659574469,0.7593712212817413,154,507,3.292207792207792,0.049576783555018135,0.0012091898428053204,0.0,0.0012091898428053204,0.5698180600513449,0.2771943126867912,0.0,1.0,0.4848383376120847,0.32925203205387965,0.0,1.0,0.5426572906202329,0.2526562576800964,0.0,1.0,0.37288387840904863,0.29986967058577224,0.0,1.0
34,897,2090,15.44574507617985,13.55072463768116,31,1,0,1,625,0.720876585928489,242,628,0.7243367935409458,0.8256,516,112,0.8256,0.4628099173553719,0.7243367935409458,153,517,3.3790849673202614,0.03575547866205306,0.0011534025374855825,0.0,0.0011534025374855825,0.5702520947962743,0.2763211053469842,0.0,1.0,0.4838709677419355,0.330225519103685,0.0,1.0,0.5447189556586471,0.2517302631437816,0.0,1.0,0.3688279929514151,0.2987149319526628,0.0,1.0
35,925,2030,15.427711711711703,14.104864864864865,29,1,0,1,650,0.7246376811594203,247,655,0.7302118171683389,0.8353846153846154,543,112,0.8353846153846154,0.4534412955465587,0.7302118171683389,156,551,3.532051282051282,0.032329988851727984,0.0011148272017837235,0.0,0.0011148272017837235,0.5721360069747167,0.2764131643558349,0.0,1.0,0.4812205754141238,0.329709810060198,0.0,1.0,0.5441673931996512,0.25056489743863836,0.0,1.0,0.367741935483871,0.29795074010666023,0.0,1.0
36,951,1980,15.332527164388356,14.64353312302839,30,4,0,4,698,0.7545945945945945,227,668,0.7221621621621621,0.8037249283667621,561,107,0.8037249283667621,0.4713656387665198,0.7221621621621621,158,576,3.6455696202531644,0.032432432432432434,0.004324324324324324,0.0,0.004324324324324324,0.570299514941827,0.27500927573938755,0.0,1.0,0.4791899867711407,0.32967666654467526,0.0,1.0,0.5449950815779654,0.2508739346448716,0.0,1.0,0.368203249550558,0.30005247227516696,0.0,1.0
37,983,1928,15.147846727704298,15.111902339776195,34,2,0,2,687,0.722397476340694,264,676,0.7108307045215563,0.7947598253275109,546,130,0.7947598253275109,0.49242424242424243,0.7108307045215563,153,577,3.7712418300653594,0.035751840168243953,0.002103049421661409,0.0,0.002103049421661409,0.5687986086043383,0.2753659974026531,0.0,1.0,0.47645456633741345,0.3302504993270792,0.0,1.0,0.5444491845240048,0.24975410564040632,0.0,1.0,0.3669149739113314,0.298625221462414,0.0,1.0
38,1009,1867,15.078229269904188,15.598612487611497,32,6,0,6,727,0.7395727365208545,256,722,0.7344862665310274,0.811554332874828,590,132,0.811554332874828,0.515625,0.7344862665310274,167,628,3.7604790419161676,0.03255340793489318,0.006103763987792472,0.0,0.006103763987792472,0.5699351002269893,0.2760257697237218,0.0,1.0,0.4751430672336072,0.3307123284670769,0.0,1.0,0.5442948943380542,0.24869446977636472,0.0,1.0,0.3665718213497874,0.2974298209305825,0.0,1.0
39,1029,1829,15.008778749595066,16.198250728862973,25,5,0,5,737,0.7304261645193261,272,707,0.7006937561942518,0.7951153324287653,586,121,0.7951153324287653,0.44485294117647056,0.7006937561942518,154,623,4.045454545454546,0.024777006937561942,0.004955401387512388,0.0,0.004955401387512388,0.5699238220633877,0.2753364767410275,0.0,1.0,0.4744976331546443,0.33198632629318225,0.0,1.0,0.5458791811655538,0.2479151324990583,0.0,1.0,0.36546600206903035,0.2976838912861879,0.0,1.0
40,1052,1775,14.951362484157151,16.749049429657795,26,3,0,3,754,0.7327502429543246,275,747,0.7259475218658892,0.8037135278514589,606,141,0.8037135278514589,0.5127272727272727,0.7259475218658892,160,653,4.08125,0.025267249757045675,0.0029154518950437317,0.0,0.0029154518950437317,0.5697289341346744,0.2747782895565405,0.0,1.0,0.47267876855145347,0.3327989704141163,0.0,1.0,0.5458726849012633,0.24745854185329602,0.0,1.0,0.3635471605543971,0.2976927634166822,0.0,1.0
41,1073,1715,14.966697732214964,17.380242311276795,23,2,0,2,750,0.7129277566539924,302,767,0.7290874524714829,0.812,609,158,0.812,0.5231788079470199,0.7290874524714829,167,674,4.0359281437125745,0.021863117870722433,0.0019011406844106464,0.0,0.0019011406844106464,0.5696118810690558,0.27537800827935177,0.0,1.0,0.4707332471514897,0.3328885842705263,0.0,1.0,0.5458918317650242,0.24609720548095293,0.0,1.0,0.3624146950064636,0.2973750115591394,0.0,1.0
42,1092,1684,14.865262515262506,18.024725274725274,21,2,0,2,770,0.7176141658900279,303,768,0.7157502329916123,0.8142857142857143,627,141,0.8142857142857143,0.46534653465346537,0.7157502329916123,166,703,4.234939759036145,0.0195712954333644,0.001863932898415657,0.0,0.001863932898415657,0.5692425853716176,0.2753251402373818,0.0,1.0,0.4699870022450668,0.33276449725145124,0.0,1.0,0.5461715703651188,0.24620063513072168,0.0,1.0,0.36373035566583956,0.29781135402194214,0.0,1.0
43,1116,1642,14.724163679808832,18.548387096774192,29,5,0,5,759,0.695054945054945,333,794,0.7271062271062271,0.8050065876152833,611,183,0.8050065876152833,0.5495495495495496,0.7271062271062271,174,726,4.172413793103448,0.026556776556776556,0.004578754578754579,0.0,0.004578754578754579,0.5683026939530582,0.27526709434324265,0.0,1.0,0.46658573245461904,0.33411504445957385,0.0,1.0,0.5463348363972714,0.24623209643632837,0.0,1.0,0.3632789917909585,0.29731309585683763,0.0,1.0
44,1128,1614,14.693764775413701,19.19858156028369,21,9,0,9,786,0.7043010752688172,330,774,0.6935483870967742,0.7888040712468194,620,154,0.7888040712468194,0.4666666666666667,0.6935483870967742,163,709,4.3496932515337425,0.01881720430107527,0.008064516129032258,0.0,0.008064516129032258,0.5645447266071837,0.27522113406943,0.0,1.0,0.4650251658659345,0.3358404899486179,0.0,1.0,0.5492450240219628,0.2454319188354525,0.0,1.0,0.36278883550674906,0.29770149120466227,0.0,1.0
45,1138,1583,14.712097246631506,19.98066783831283,12,2,0,2,815,0.7225177304964538,313,811,0.7189716312056738,0.8122699386503067,662,149,0.8122699386503067,0.476038338658147,0.7189716312056738,175,755,4.314285714285714,0.010638297872340425,0.0017730496453900709,0.0,0.0017730496453900709,0.5640909348602527,0.27532805760758244,0.0,1.0,0.4635750325982198,0.33560845074843115,0.0,1.0,0.5492091388400703,0.2448802418258333,0.0,1.0,0.36203866432337434,0.29822951506474576,0.0,1.0
46,1159,1553,14.52840092033361,20.526315789473685,25,4,0,4,818,0.718804920913884,320,806,0.7082601054481547,0.7958435207823961,651,155,0.7958435207823961,0.484375,0.7082601054481547,168,744,4.428571428571429,0.021968365553602813,0.0035149384885764497,0.0,0.0035149384885764497,0.566172172896546,0.27592182389208153,0.0,1.0,0.4646942581201815,0.3354356482832734,0.0,1.0,0.5499735589635113,0.24442840939912275,0.0,1.0,0.36260402460408026,0.29867115613010414,0.0,1.0
47,1171,1526,14.462581838884134,21.220324508966694,17,5,0,5,840,0.724762726488352,319,827,0.7135461604831751,0.7976190476190477,670,157,0.7976190476190477,0.49216300940438873,0.7135461604831751,164,764,4.658536585365853,0.014667817083692839,0.004314063848144953,0.0,0.004314063848144953,0.5677254070135809,0.2764310106807958,0.0,1.0,0.46373378143852784,0.335188812941578,0.0,1.0,0.5506735351643206,0.24399892668505688,0.0,1.0,0.36257954326327096,0.2980442424220012,0.0,1.0
48,1177,1490,14.496077598414036,21.972812234494477,12,6,0,6,881,0.7523484201537147,290,843,0.7198975234842016,0.8138479001135074,717,126,0.8138479001135074,0.43448275862068964,0.7198975234842016,171,778,4.549707602339181,0.010247651579846286,0.005123825789923143,0.0,0.005123825789923143,0.5669416504508454,0.2764275440163817,0.0,1.0,0.4655082632170362,0.33532345756590615,0.0,1.0,0.551730753419026,0.2434274971931408,0.0,1.0,0.36212897744402117,0.2974505616127733,0.0,1.0
49,1191,1448,14.441697153252559,22.623005877413938,18,4,0,4,865,0.7349192863211554,312,858,0.7289719626168224,0.8057803468208092,697,161,0.8057803468208092,0.5160256410256411,0.7289719626168224,166,782,4.710843373493976,0.015293118096856415,0.0033984706881903144,0.0,0.0033984706881903144,0.5655859808780911,0.2757230659046633,0.0,1.0,0.46447821023265895,0.33588859539330945,0.0,1.0,0.5505268004658594,0.2423107872712486,0.0,1.0,0.36190785731697406,0.29688540245639633,0.0,1.0
50,1203,1416,14.386418378656522,23.180382377389858,20,8,0,8,840,0.7052896725440806,351,850,0.7136859781696053,0.8047619047619048,676,174,0.8047619047619048,0.49572649572649574,0.7136859781696053,164,782,4.7682926829268295,0.016792611251049538,0.006717044500419815,0.0,0.006717044500419815,0.5647172391601641,0.2754398908135863,0.0,1.0,0.4634918081141233,0.3359133876944806,0.0,1.0,0.5505054567881372,0.24219109323879334,0.0,1.0,0.36213230364947846,0.297831171308238,0.0,1.0
51,1212,1382,14.353457979726532,23.808580858085808,21,12,0,12,861,0.71571072319202,342,849,0.7057356608478803,0.7955865272938444,685,164,0.7955865272938444,0.47953216374269003,0.7057356608478803,166,781,4.704819277108434,0.017456359102244388,0.00997506234413965,0.0,0.00997506234413965,0.5615351857766422,0.27507771687179783,0.0,1.0,0.4635100606834877,0.3352537479435061,0.0,1.0,0.5485734057276695,0.242226234269159,0.0,1.0,0.363967848397743,0.2974218793633703,0.0,1.0
52,1219,1351,14.349885426987548,24.579983593109105,12,5,0,5,880,0.7260726072607261,332,882,0.7277227722772277,0.8181818181818182,720,162,0.8181818181818182,0.4879518072289157,0.7277227722772277,179,830,4.636871508379889,0.009900990099009901,0.004125412541254125,0.0,0.004125412541254125,0.5623594167614915,0.2759385070252437,0.0,1.0,0.46383868321469207,0.3344209584858348,0.0,1.0,0.5485723358649343,0.24316062255225468,0.0,1.0,0.3652914869406441,0.29719219111208384,0.0,1.0
53,1234,1319,14.236637224876677,25.205024311183145,18,3,0,3,874,0.7169811320754716,345,878,0.7202625102543068,0.8215102974828375,718,160,0.8215102974828375,0.463768115942029,0.7202625102543068,175,821,4.691428571428571,0.014766201804757998,0.002461033634126333,0.0,0.002461033634126333,0.5623725623464213,0.27627470679257266,0.0,1.0,0.4636900716264966,0.3337166945505949,0.0,1.0,0.5488314947456475,0.2429758669522342,0.0,1.0,0.36597480002091287,0.29709960881141984,0.0,1.0
54,1246,1295,14.130504497508896,25.895666131621187,17,5,0,5,875,0.7090761750405187,359,875,0.7090761750405187,0.8022857142857143,702,173,0.8022857142857143,0.4818941504178273,0.7090761750405187,163,814,4.993865030674846,0.013776337115072933,0.004051863857374392,0.0,0.004051863857374392,0.5621860922694558,0.27599001407503304,0.0,1.0,0.46336664422927565,0.33354305427090797,0.0,1.0,0.5469114068244187,0.24312157258047676,0.0,1.0,0.3672914617097292,0.29740650905352833,0.0,1.0
55,1255,1265,14.074429166451063,26.6199203187251,12,3,0,3,911,0.7311396468699839,335,906,0.7271268057784912,0.8122941822173436,740,166,0.8122941822173436,0.4955223880597015,0.7271268057784912,172,848,4.930232558139535,0.009630818619582664,0.002407704654895666,0.0,0.002407704654895666,0.5605449171057705,0.2759162975760492,0.0,1.0,0.4623827271558925,0.3336503318761622,0.0,1.0,0.5462022876236987,0.24263274929390422,0.0,1.0,0.36859015550700425,0.29697770254333267,0.0,1.0
56,1266,1244,13.951665563898963,27.305687203791468,16,5,0,5,902,0.7187250996015936,353,888,0.7075697211155378,0.8192904656319291,739,149,0.8192904656319291,0.42209631728045327,0.7075697211155378,170,837,4.923529411764706,0.012749003984063745,0.00398406374501992,0.0,0.00398406374501992,0.5598532334505427,0.2756220412962172,0.0,1.0,0.46216174896804774,0.3339663896772319,0.0,1.0,0.546119349742649,0.24258053823537454,0.0,1.0,0.3684961524741375,0.2976409585659341,0.0,1.0
