organism_id,parent_id,founder_id,generation,birth_step,birth_x,birth_y,lifespan,birth_exploration_tendency,birth_site_fidelity,birth_risk_tolerance,birth_reproduction_timing,death_step,death_cause
0,,0,0,0,70,97,248,0.41935483870967744,0.7419354838709677,0.8064516129032258,0.9354838709677419,123.0,energy
1,,1,0,0,62,4,158,0.6774193548387096,0.7096774193548387,0.5161290322580645,0.5806451612903226,81.0,energy
2,,2,0,0,46,80,178,0.6451612903225806,0.22580645161290322,0.1935483870967742,0.8709677419354839,104.0,energy
3,,3,0,0,82,7,190,0.3870967741935484,0.1935483870967742,0.3870967741935484,0.3225806451612903,121.0,energy
4,,4,0,0,96,80,173,0.1935483870967742,0.12903225806451613,0.6451612903225806,0.8064516129032258,91.0,energy
5,,5,0,0,43,83,210,0.0,0.5161290322580645,0.4838709677419355,0.6129032258064516,104.0,energy
6,,6,0,0,31,81,240,0.9032258064516129,0.4838709677419355,0.16129032258064516,0.967741935483871,128.0,energy
7,,7,0,0,12,90,164,0.25806451612903225,0.4838709677419355,0.6451612903225806,1.0,46.0,energy
8,,8,0,0,78,82,194,0.6129032258064516,0.6129032258064516,0.0967741935483871,0.3225806451612903,58.0,energy
9,,9,0,0,7,53,161,0.5483870967741935,0.9032258064516129,0.03225806451612903,0.6451612903225806,160.0,age
10,,10,0,0,52,64,154,0.12903225806451613,0.8064516129032258,0.3225806451612903,0.9354838709677419,129.0,energy
11,,11,0,0,29,3,183,0.0967741935483871,0.0,0.25806451612903225,0.25806451612903225,111.0,energy
12,,12,0,0,89,90,246,0.25806451612903225,0.9032258064516129,0.7096774193548387,0.0,38.0,energy
13,,13,0,0,72,18,161,0.6774193548387096,0.06451612903225806,0.7741935483870968,0.7419354838709677,99.0,energy
14,,14,0,0,70,19,246,0.0,0.5483870967741935,0.6774193548387096,0.41935483870967744,106.0,energy
15,,15,0,0,38,1,188,0.12903225806451613,0.3225806451612903,0.12903225806451613,0.9354838709677419,187.0,age
16,,16,0,0,53,65,156,0.8064516129032258,0.2903225806451613,0.5483870967741935,0.5161290322580645,48.0,energy
17,,17,0,0,26,30,198,1.0,0.9032258064516129,0.0,0.6774193548387096,91.0,energy
18,,18,0,0,22,19,189,0.7096774193548387,0.5483870967741935,0.5806451612903226,0.3548387096774194,69.0,energy
19,,19,0,0,74,3,176,0.8064516129032258,0.1935483870967742,0.0967741935483871,0.8064516129032258,83.0,energy
20,,20,0,0,78,33,189,0.06451612903225806,0.8709677419354839,0.0,0.9354838709677419,41.0,energy
21,,21,0,0,87,78,198,0.5161290322580645,1.0,0.3548387096774194,0.9032258064516129,95.0,energy
22,,22,0,0,81,69,184,0.22580645161290322,0.5161290322580645,0.1935483870967742,0.0967741935483871,88.0,energy
23,,23,0,0,86,60,237,0.7096774193548387,0.41935483870967744,0.1935483870967742,0.25806451612903225,44.0,energy
24,,24,0,0,99,39,217,0.7096774193548387,0.4838709677419355,0.3870967741935484,1.0,216.0,age
25,,25,0,0,80,43,215,0.3548387096774194,0.4838709677419355,0.8064516129032258,0.5161290322580645,69.0,energy
26,,26,0,0,87,21,211,0.03225806451612903,0.0967741935483871,0.7096774193548387,0.7096774193548387,48.0,energy
27,,27,0,0,9,4,217,0.5483870967741935,0.967741935483871,0.5806451612903226,0.5483870967741935,216.0,age
28,,28,0,0,17,89,180,0.3870967741935484,0.6774193548387096,0.3548387096774194,0.967741935483871,179.0,age
29,,29,0,0,89,88,157,0.6774193548387096,0.25806451612903225,0.7419354838709677,0.6774193548387096,86.0,energy
30,,30,0,0,7,51,180,0.4838709677419355,0.967741935483871,0.6451612903225806,0.41935483870967744,179.0,age
31,,31,0,0,93,11,238,0.16129032258064516,0.9354838709677419,0.8064516129032258,0.967741935483871,141.0,energy
32,,32,0,0,53,28,223,0.3225806451612903,0.3548387096774194,0.967741935483871,0.2903225806451613,83.0,energy
33,,33,0,0,78,65,236,0.4838709677419355,0.3225806451612903,0.3548387096774194,0.03225806451612903,114.0,energy
34,,34,0,0,83,32,206,0.6451612903225806,1.0,0.8387096774193549,0.2903225806451613,69.0,energy
35,,35,0,0,94,67,188,0.12903225806451613,0.8064516129032258,0.41935483870967744,0.6451612903225806,136.0,energy
36,,36,0,0,76,13,214,0.03225806451612903,0.7419354838709677,0.4838709677419355,0.7096774193548387,50.0,energy
37,,37,0,0,82,4,185,0.4838709677419355,0.6451612903225806,0.3870967741935484,0.03225806451612903,74.0,energy
38,,38,0,0,74,34,219,0.06451612903225806,0.5806451612903226,1.0,0.6451612903225806,168.0,energy
39,,39,0,0,17,3,174,0.7096774193548387,0.6774193548387096,0.41935483870967744,0.5806451612903226,68.0,energy
40,,40,0,0,21,94,201,0.3225806451612903,1.0,0.7741935483870968,0.5161290322580645,119.0,energy
41,,41,0,0,81,37,231,0.9354838709677419,0.2903225806451613,0.2903225806451613,0.3225806451612903,41.0,energy
42,,42,0,0,72,59,236,0.6451612903225806,0.45161290322580644,0.16129032258064516,0.967741935483871,168.0,energy
43,,43,0,0,68,76,206,0.9032258064516129,0.5483870967741935,0.3225806451612903,0.45161290322580644,76.0,energy
44,,44,0,0,97,48,221,0.5483870967741935,0.25806451612903225,0.2903225806451613,0.3870967741935484,220.0,age
45,,45,0,0,81,67,175,1.0,0.6451612903225806,0.8064516129032258,0.9032258064516129,94.0,energy
46,,46,0,0,16,64,228,0.22580645161290322,0.5806451612903226,0.0967741935483871,0.8387096774193549,111.0,energy
47,,47,0,0,64,1,153,0.0,0.03225806451612903,0.967741935483871,0.8709677419354839,108.0,energy
48,,48,0,0,18,29,169,0.5161290322580645,0.9354838709677419,0.3548387096774194,0.0967741935483871,45.0,energy
49,,49,0,0,44,38,158,0.12903225806451613,0.8387096774193549,0.8387096774193549,0.41935483870967744,157.0,age
50,,50,0,0,77,56,247,0.8387096774193549,0.06451612903225806,0.12903225806451613,0.0,74.0,energy
51,,51,0,0,80,46,167,0.0967741935483871,0.45161290322580644,0.8709677419354839,0.8387096774193549,89.0,energy
52,,52,0,0,5,97,186,0.5483870967741935,0.25806451612903225,0.6774193548387096,1.0,185.0,age
53,,53,0,0,1,1,183,0.8387096774193549,0.3548387096774194,0.25806451612903225,0.45161290322580644,146.0,energy
54,,54,0,0,83,46,174,0.0,0.9032258064516129,0.9354838709677419,0.6129032258064516,89.0,energy
