founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,123,2,0,0.0,0.41935483870967744,0.7419354838709677,0.8064516129032258,0.9354838709677419,,,,,,,,,,
1,True,81,2,0,0.0,0.6774193548387096,0.7096774193548387,0.5161290322580645,0.5806451612903226,,,,,,,,,,
2,True,104,1,0,0.0,0.6451612903225806,0.22580645161290322,0.1935483870967742,0.8709677419354839,,,,,,,,,,
3,True,206,14,0,0.0,0.3870967741935484,0.1935483870967742,0.3870967741935484,0.3225806451612903,,,,,,,,,,
4,True,91,1,0,0.0,0.1935483870967742,0.12903225806451613,0.6451612903225806,0.8064516129032258,,,,,,,,,,
5,False,,141,55,0.044861337683523655,0.0,0.5161290322580645,0.4838709677419355,0.6129032258064516,0.1313782991202346,0.20483739768712267,0.5466275659824047,0.09317209826304089,0.4668621700879766,0.10810579077038766,0.3313782991202347,0.2707620043871626,9.018181818181818,12
6,True,164,22,0,0.0,0.9032258064516129,0.4838709677419355,0.16129032258064516,0.967741935483871,,,,,,,,,,
7,True,46,1,0,0.0,0.25806451612903225,0.4838709677419355,0.6451612903225806,1.0,,,,,,,,,,
8,True,58,1,0,0.0,0.6129032258064516,0.6129032258064516,0.0967741935483871,0.3225806451612903,,,,,,,,,,
9,True,823,28,0,0.0,0.5483870967741935,0.9032258064516129,0.03225806451612903,0.6451612903225806,,,,,,,,,,
10,True,129,2,0,0.0,0.12903225806451613,0.8064516129032258,0.3225806451612903,0.9354838709677419,,,,,,,,,,
11,True,111,1,0,0.0,0.0967741935483871,0.0,0.25806451612903225,0.25806451612903225,,,,,,,,,,
12,True,98,4,0,0.0,0.25806451612903225,0.9032258064516129,0.7096774193548387,0.0,,,,,,,,,,
13,True,151,8,0,0.0,0.6774193548387096,0.06451612903225806,0.7741935483870968,0.7419354838709677,,,,,,,,,,
14,True,124,6,0,0.0,0.0,0.5483870967741935,0.6774193548387096,0.41935483870967744,,,,,,,,,,
15,True,187,2,0,0.0,0.12903225806451613,0.3225806451612903,0.12903225806451613,0.9354838709677419,,,,,,,,,,
16,True,131,8,0,0.0,0.8064516129032258,0.2903225806451613,0.5483870967741935,0.5161290322580645,,,,,,,,,,
17,True,263,13,0,0.0,1.0,0.9032258064516129,0.0,0.6774193548387096,,,,,,,,,,
18,True,126,4,0,0.0,0.7096774193548387,0.5483870967741935,0.5806451612903226,0.3548387096774194,,,,,,,,,,
19,True,87,5,0,0.0,0.8064516129032258,0.1935483870967742,0.0967741935483871,0.8064516129032258,,,,,,,,,,
20,True,41,1,0,0.0,0.06451612903225806,0.8709677419354839,0.0,0.9354838709677419,,,,,,,,,,
21,True,124,4,0,0.0,0.5161290322580645,1.0,0.3548387096774194,0.9032258064516129,,,,,,,,,,
22,True,88,3,0,0.0,0.22580645161290322,0.5161290322580645,0.1935483870967742,0.0967741935483871,,,,,,,,,,
23,True,44,1,0,0.0,0.7096774193548387,0.41935483870967744,0.1935483870967742,0.25806451612903225,,,,,,,,,,
24,True,216,1,0,0.0,0.7096774193548387,0.4838709677419355,0.3870967741935484,1.0,,,,,,,,,,
25,True,69,2,0,0.0,0.3548387096774194,0.4838709677419355,0.8064516129032258,0.5161290322580645,,,,,,,,,,
