step,population_size,food_count,average_energy,average_age,birth_count,death_count,move_count,move_rate,non_move_count,eat_count,eat_rate,eat_per_move,eat_after_move_count,eat_without_move_count,eat_after_move_rate,eat_without_move_rate,total_eat_rate,shared_food_cell_count,shared_food_consumer_count,mean_consumers_per_shared_food,birth_rate,death_rate,average_exploration_tendency,std_exploration_tendency,min_exploration_tendency,max_exploration_tendency,average_site_fidelity,std_site_fidelity,min_site_fidelity,max_site_fidelity,average_risk_tolerance,std_risk_tolerance,min_risk_tolerance,max_risk_tolerance,average_reproduction_timing,std_reproduction_timing,min_reproduction_timing,max_reproduction_timing
0,100,698,9.47,1.0,0,0,53,0.53,47,2,0.02,0.018867924528301886,1,1,0.018867924528301886,0.02127659574468085,0.02,0,0,0.0,0.0,0.0,0.5483870967741935,0.29114578631087296,0.0,1.0,0.5251612903225806,0.2665960711272367,0.0,1.0,0.43129032258064515,0.2730966675049135,0.0,0.967741935483871,0.48387096774193544,0.3226129016130645,0.0,1.0
1,100,885,9.610000000000001,2.0,0,0,41,0.41,59,14,0.14,0.34146341463414637,14,0,0.34146341463414637,0.0,0.14,1,2,2.0,0.0,0.0,0.5483870967741935,0.29114578631087296,0.0,1.0,0.5251612903225806,0.2665960711272367,0.0,1.0,0.43129032258064515,0.2730966675049135,0.0,0.967741935483871,0.48387096774193544,0.3226129016130645,0.0,1.0
2,101,1070,9.594059405940595,2.9702970297029703,1,0,52,0.52,48,15,0.15,0.28846153846153844,15,0,0.28846153846153844,0.0,0.15,0,0,0.0,0.01,0.0,0.5499840306611307,0.290140694563726,0.0,1.0,0.5199616735867135,0.2703208628386115,0.0,1.0,0.42957521558607475,0.2722820512633413,0.0,0.967741935483871,0.47971893963589907,0.3236858539440531,0.0,1.0
3,101,1242,10.296039603960397,3.9702970297029703,0,0,59,0.5841584158415841,42,29,0.2871287128712871,0.423728813559322,25,4,0.423728813559322,0.09523809523809523,0.2871287128712871,1,2,2.0,0.0,0.0,0.5499840306611307,0.290140694563726,0.0,1.0,0.5199616735867135,0.2703208628386115,0.0,1.0,0.42957521558607475,0.2722820512633413,0.0,0.967741935483871,0.47971893963589907,0.3236858539440531,0.0,1.0
4,101,1418,10.869306930693071,4.97029702970297,0,0,52,0.5148514851485149,49,26,0.25742574257425743,0.4423076923076923,23,3,0.4423076923076923,0.061224489795918366,0.25742574257425743,2,4,2.0,0.0,0.0,0.5499840306611307,0.290140694563726,0.0,1.0,0.5199616735867135,0.2703208628386115,0.0,1.0,0.42957521558607475,0.2722820512633413,0.0,0.967741935483871,0.47971893963589907,0.3236858539440531,0.0,1.0
5,102,1591,11.418627450980393,5.911764705882353,1,0,53,0.5247524752475248,48,28,0.27722772277227725,0.5094339622641509,27,1,0.5094339622641509,0.020833333333333332,0.27722772277227725,1,2,2.0,0.009900990099009901,0.0,0.551549652118912,0.28914335690358817,0.0,1.0,0.5148640101201771,0.27382762235231783,0.0,1.0,0.4278937381404175,0.2714705160048327,0.0,0.967741935483871,0.4756483238456673,0.3246827860556671,0.0,1.0
6,103,1760,12.082524271844662,6.844660194174757,1,0,60,0.5882352941176471,42,32,0.3137254901960784,0.5166666666666667,31,1,0.5166666666666667,0.023809523809523808,0.3137254901960784,1,2,2.0,0.00980392156862745,0.0,0.5512057626057,0.2877572852208795,0.0,1.0,0.518947698089571,0.275598610563955,0.0,1.0,0.42561854055746945,0.27112496938891395,0.0,0.967741935483871,0.47103037895396177,0.32645155737863735,0.0,1.0
7,106,1924,12.558490566037737,7.622641509433962,3,0,68,0.6601941747572816,35,39,0.3786407766990291,0.5588235294117647,38,1,0.5588235294117647,0.02857142857142857,0.3786407766990291,3,6,2.0,0.02912621359223301,0.0,0.5526475958612295,0.28575824633071534,0.0,1.0,0.5048691418137553,0.283930527311231,0.0,1.0,0.41996348143639683,0.2708699477207457,0.0,0.967741935483871,0.45830797321972,0.33036014856017587,0.0,1.0
8,107,2090,13.29532710280374,8.542056074766355,1,0,63,0.5943396226415094,43,35,0.330188679245283,0.5238095238095238,33,2,0.5238095238095238,0.046511627906976744,0.330188679245283,1,2,2.0,0.009433962264150943,0.0,0.554115164305095,0.28482085040186,0.0,1.0,0.5001507386192342,0.2867455867734437,0.0,1.0,0.41845040699427194,0.2700509183395275,0.0,0.967741935483871,0.4546276756104914,0.33098878326953174,0.0,1.0
9,110,2250,13.89,9.281818181818181,3,0,69,0.6448598130841121,38,40,0.37383177570093457,0.5507246376811594,38,2,0.5507246376811594,0.05263157894736842,0.37383177570093457,0,0,0.0,0.028037383177570093,0.0,0.5524926686217009,0.28229732750494374,0.0,1.0,0.5041055718475074,0.2864141970131171,0.0,1.0,0.42023460410557184,0.2670169703448889,0.0,0.967741935483871,0.4501466275659824,0.3289225958257822,0.0,1.0
