founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,149,7,0,0.0,0.8709677419354839,0.6451612903225806,0.0967741935483871,0.5161290322580645,,,,,,,,,,
1,True,610,26,0,0.0,0.7419354838709677,0.7419354838709677,0.41935483870967744,0.8709677419354839,,,,,,,,,,
2,True,265,12,0,0.0,0.41935483870967744,0.9354838709677419,0.16129032258064516,0.7419354838709677,,,,,,,,,,
3,True,1856,303,0,0.0,0.7096774193548387,0.7096774193548387,0.3870967741935484,0.5161290322580645,,,,,,,,,,
4,True,228,13,0,0.0,0.6129032258064516,0.4838709677419355,0.1935483870967742,0.3225806451612903,,,,,,,,,,
5,True,469,31,0,0.0,0.3548387096774194,0.6451612903225806,0.3548387096774194,0.25806451612903225,,,,,,,,,,
6,True,59,2,0,0.0,0.3870967741935484,0.1935483870967742,0.7419354838709677,0.0967741935483871,,,,,,,,,,
7,True,548,42,0,0.0,0.9032258064516129,1.0,0.0967741935483871,0.45161290322580644,,,,,,,,,,
8,True,1069,191,0,0.0,0.8709677419354839,0.12903225806451613,0.4838709677419355,0.5161290322580645,,,,,,,,,,
9,True,2117,172,0,0.0,0.7096774193548387,0.16129032258064516,0.16129032258064516,0.6451612903225806,,,,,,,,,,
10,True,6696,9878,0,0.0,0.5483870967741935,0.0,1.0,0.3870967741935484,,,,,,,,,,
11,True,4160,1567,0,0.0,0.0967741935483871,0.2903225806451613,0.9032258064516129,0.16129032258064516,,,,,,,,,,
12,True,374,30,0,0.0,0.7096774193548387,0.3870967741935484,1.0,0.12903225806451613,,,,,,,,,,
13,True,455,37,0,0.0,0.3548387096774194,0.7419354838709677,0.06451612903225806,0.8064516129032258,,,,,,,,,,
14,True,188,1,0,0.0,0.16129032258064516,0.06451612903225806,0.3548387096774194,0.3870967741935484,,,,,,,,,,
15,True,1033,204,0,0.0,0.9032258064516129,0.3225806451612903,0.7419354838709677,0.8387096774193549,,,,,,,,,,
16,True,235,10,0,0.0,0.06451612903225806,0.5806451612903226,0.03225806451612903,0.12903225806451613,,,,,,,,,,
17,True,186,2,0,0.0,0.5161290322580645,0.3870967741935484,0.22580645161290322,0.6129032258064516,,,,,,,,,,
18,True,425,20,0,0.0,0.25806451612903225,0.5161290322580645,0.6129032258064516,0.41935483870967744,,,,,,,,,,
19,True,577,42,0,0.0,0.9032258064516129,0.7741935483870968,0.6129032258064516,0.45161290322580644,,,,,,,,,,
20,True,313,2,0,0.0,0.06451612903225806,0.2903225806451613,0.6129032258064516,0.16129032258064516,,,,,,,,,,
21,True,3485,1053,0,0.0,0.5161290322580645,1.0,0.9032258064516129,0.3870967741935484,,,,,,,,,,
22,True,275,23,0,0.0,0.9032258064516129,0.7096774193548387,0.967741935483871,0.45161290322580644,,,,,,,,,,
23,True,385,15,0,0.0,0.6129032258064516,0.4838709677419355,0.5161290322580645,1.0,,,,,,,,,,
24,True,51,1,0,0.0,0.8064516129032258,0.5806451612903226,0.41935483870967744,0.8387096774193549,,,,,,,,,,
25,True,166,2,0,0.0,0.22580645161290322,0.5161290322580645,0.0,0.4838709677419355,,,,,,,,,,
26,True,425,27,0,0.0,1.0,0.7741935483870968,0.0,0.5483870967741935,,,,,,,,,,
27,True,930,160,0,0.0,0.5806451612903226,0.3225806451612903,0.22580645161290322,0.0,,,,,,,,,,
28,True,1391,238,0,0.0,0.5161290322580645,0.22580645161290322,0.03225806451612903,0.7096774193548387,,,,,,,,,,
29,True,36,1,0,0.0,0.22580645161290322,0.9354838709677419,0.7419354838709677,0.8709677419354839,,,,,,,,,,
30,True,209,2,0,0.0,0.45161290322580644,0.9032258064516129,0.3548387096774194,0.06451612903225806,,,,,,,,,,
31,False,,14198,84,0.09824561403508772,0.3548387096774194,0.6129032258064516,0.5161290322580645,0.16129032258064516,0.39362519201228874,0.16491921958724579,0.014592933947772654,0.05085970239982582,0.685099846390169,0.13343293016144997,0.18164362519201233,0.22987231338171393,105.76190476190476,114
32,True,391,27,0,0.0,0.7419354838709677,0.3225806451612903,0.25806451612903225,0.03225806451612903,,,,,,,,,,
33,True,604,36,0,0.0,0.06451612903225806,0.6129032258064516,0.7419354838709677,0.45161290322580644,,,,,,,,,,
34,True,7581,4146,0,0.0,0.16129032258064516,0.1935483870967742,0.6774193548387096,0.16129032258064516,,,,,,,,,,
35,True,91,1,0,0.0,0.1935483870967742,0.45161290322580644,0.7741935483870968,0.967741935483871,,,,,,,,,,
